power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
5,0,21,3,NHL,1980-81,20,14,MNS,,7,25,-2,0,70,,,20.0,9
2,4,4,1,NHL,1981-82,21,3,MNS,,1,2,-2,0,14,,,21.4,1
1,9,10,2,NHL,1982-83,22,4,MNS,,6,11,0,0,22,,,18.2,3
1,16,9,1,NHL,1983-84,23,4,MNS,,5,27,-6,0,38,,,10.5,3
1,9,6,0,NHL,1984-85,24,3,MNS,,3,8,-4,0,36,,,8.3,2
0,5,1,0,NHL,1985-86,25,0,MNS,,1,6,-6,0,8,,,0.0,0
3,6,6,0,NHL,1988-89,28,3,WSH,,3,12,-2,0,16,,,18.8,0
1,8,11,1,NHL,1989-90,29,8,WSH,,3,6,0,0,28,,,28.6,7
3,11,9,2,NHL,1990-91,30,5,WSH,,4,22,-3,0,44,,,11.4,2
1,7,9,0,NHL,1991-92,31,5,WSH,,4,14,-1,0,12,,,41.7,4
3,7,6,0,NHL,1992-93,32,4,DET,,2,16,-6,0,17,,,23.5,1
1,7,7,0,NHL,1993-94,33,5,DET,,2,14,1,0,22,,,22.7,4
0,16,11,2,NHL,1994-95,34,9,DET,,2,22,-4,0,49,,,18.4,3
0,17,8,1,NHL,1995-96,35,6,DET,,2,26,-6,0,36,,,16.7,0
