even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,LAK,0,0,26,0,3,NHL,0,1,24,2009-10,2,0.0,,0,0,0
0,4,NJD,0,6,28,0,37,NHL,0,22,264,2011-12,17,0.0,,0,4,2
