pim,team,assists,plus_minus,points,league,games_played,year,age,goals
40,Abbotsford Heat,31,6,41,AHL,65,2013-14,24,10
8,CSKA Moskva,4,1,6,KHL,21,2014-15,25,2
4,Lule\xc3\x83\xc2\xa5 HF,5,-2,6,SHL,23,2014-15,25,1
