won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,3,NYR,180,26,3,0,0,14,0,0,0,0,0,0,0,0,0,0,1955-56,0,4.67,2,0
,0,NHL,5,NYR,316,27,4,0,0,21,0,0,0,0,1,0,0,0,0,0,1956-57,0,3.99,0,0
,0,NHL,6,NYR,365,28,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1957-58,0,4.60,0,0
,0,NHL,6,NYR,384,32,4,0,0,21,0,0,0,0,2,0,0,0,0,0,1961-62,0,3.28,0,0
SC,0,NHL,8,MTL,501,35,3,0,0,14,0,0,0,0,5,0,0,0,0,0,1964-65,0,0,0,0
SC,0,NHL,10,MTL,602,36,2,0,0,20,0,0,0,0,0,0,0,0,0,0,1965-66,0,0,0,0
,0,NHL,2,MTL,80,37,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1966-67,0,1.50,0,0
SC,0,NHL,12,MTL,672,38,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1967-68,0,1.88,10,0
SC,0,NHL,7,MTL,370,39,1,0,0,14,0,0,0,0,5,0,0,0,0,0,1968-69,0,2.27,5,0
,0,NHL,3,MNS,180,40,2,0,0,14,0,0,0,0,1,0,0,0,0,0,1969-70,0,4.67,0,0
,0,NHL,4,MNS,240,41,1,0,0,13,0,0,0,0,3,0,0,0,0,0,1970-71,0,3.25,0,0
,0,NHL,4,MNS,194,42,1,0,0,7,0,0,0,1,2,0,0,0,0,0,1971-72,0,2.16,0,0
