even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,CBH,0,0,20,0,,NHL,0,0,,1964-65,6,0,,0,0,0
0,0,CBH,0,0,21,0,,NHL,0,4,,1965-66,3,0.0,,0,0,1
0,1,CBH,0,12,22,0,,NHL,0,16,,1966-67,6,0.0,,0,1,-1
1,3,CBH,1,6,23,1,,NHL,0,35,,1967-68,11,2.9,,0,4,-5
5,2,CBH,5,0,25,1,,NHL,0,23,,1969-70,8,21.7,,0,7,-1
5,6,CBH,7,2,26,1,,NHL,0,66,,1970-71,18,10.6,,2,13,5
3,2,CBH,4,4,27,0,,NHL,0,26,,1971-72,8,15.4,,1,6,0
5,0,CBH,9,4,28,1,,NHL,0,69,,1972-73,16,13.0,,0,24,7
5,3,CBH,6,0,29,1,,NHL,0,29,,1973-74,10,20.7,,1,9,3
0,2,CBH,0,0,30,0,,NHL,0,6,,1974-75,5,0.0,,0,2,-3
0,0,CBH,0,0,31,0,,NHL,0,10,,1975-76,4,0.0,,0,0,-3
0,0,CBH,1,0,32,0,,NHL,0,7,,1976-77,2,14.3,,1,1,-4
0,0,DET,0,2,33,0,,NHL,0,8,,1977-78,7,0.0,,0,0,-1
