league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,1,0,19,0,0,0,,BOS,[],0,0,0,0,0,0,1963-64,,0,0,0,0
NHL,73,3,23,136,40,3,,LAK,[],13.2,13,22,-10,18,1,1967-68,,4,26,0,19
NHL,76,3,24,206,39,3,,LAK,[],7.3,15,24,-17,15,0,1968-69,,0,47,0,21
NHL,75,0,25,148,27,2,,TOT,[],7.4,9,16,-26,11,0,1969-70,,2,38,0,14
NHL,58,0,25,120,24,1,,LAK,[],9.2,9,13,-20,11,0,1969-70,,2,28,0,12
NHL,17,0,25,28,3,1,,NYR,[],0.0,0,3,-6,0,0,1969-70,,0,10,0,2
NHL,76,6,26,150,38,3,,NYR,[],13.3,18,18,18,20,0,1970-71,,2,137,1,14
NHL,78,1,27,164,36,2,,NYR,[],9.1,15,21,8,15,0,1971-72,,0,66,0,19
NHL,53,1,28,91,20,1,,NYR,[],8.8,7,12,4,8,0,1972-73,,1,54,0,11
NHL,75,5,29,142,46,0,,NYR,[],18.3,24,20,2,26,0,1973-74,,2,105,0,20
NHL,79,3,30,174,34,0,,NYR,[],9.8,13,17,-15,17,0,1974-75,,4,66,0,17
NHL,69,2,31,105,23,1,,STL,[],9.5,8,13,-12,10,0,1975-76,,2,80,0,12
NHL,69,2,32,122,28,1,,STL,[],11.5,13,14,-16,14,0,1976-77,,1,38,0,13
