bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,0,5.63,0,15,NHL,0,19,0,12,0,0,0,0,3,.800,1991-92,NJD,1,,0,0,0,1,32
0,1,1,1.95,10.72,531,NHL,0,21,0,493,0,0,0,78,38,.928,1993-94,NJD,0,,1,0,8,17,1171
0,0,1,0,15.77,463,NHL,0,22,0,429,6,0,0,68,34,0,1994-95,NJD,4,SC,1,0,0,0,0
0,2,1,0,2.73,268,NHL,0,24,0,249,0,1,0,87,19,.929,1996-97,NJD,5,,0,0,5,10,659
0,0,1,1.97,1.93,164,NHL,0,25,0,152,0,0,0,86,12,.927,1997-98,NJD,4,,1,0,2,6,366
0,0,2,2.82,-8.15,139,NHL,0,26,0,119,2,0,0,169,20,.856,1998-99,NJD,4,,2,0,3,7,425
0,2,0,0,4.87,537,NHL,0,27,0,498,10,0,0,89,39,.927,1999-00,NJD,7,SC,0,0,0,0,0
0,0,1,2.07,-7.56,507,NHL,0,28,0,455,0,0,0,117,0,.897,2000-01,NJD,0,,1,0,15,0,0
0,1,0,1.42,2.93,145,NHL,0,29,0,136,0,0,0,75,9,.938,2001-02,NJD,4,,0,0,2,6,381
0,0,1,1.65,9.66,622,NHL,0,30,0,581,6,0,0,81,41,.934,2002-03,NJD,0,SC,1,0,0,0,0
0,0,0,2.62,-2.69,133,NHL,0,31,0,120,0,0,0,126,13,.902,2003-04,NJD,4,,0,0,1,5,298
0,1,0,2.25,4.52,261,NHL,0,33,0,241,2,0,0,82,20,.923,2005-06,NJD,4,,0,0,5,9,533
0,1,1,2.44,-1.05,332,NHL,0,34,0,304,2,0,0,104,28,.916,2006-07,NJD,6,,1,0,5,11,688
1,0,0,3.19,-3.37,147,NHL,5,35,.200,131,2,0,1,127,16,.891,2007-08,NJD,4,,0,0,1,5,301
0,1,0,2.39,3.30,239,NHL,7,36,.714,222,4,0,5,84,17,.929,2008-09,NJD,4,,0,0,3,7,427
0,0,0,3.01,-3.41,126,NHL,5,37,.200,111,0,0,1,129,15,.881,2009-10,NJD,4,,0,0,1,5,299
3,1,4,2.12,-2.54,0,NHL,24,39,.583,0,0,0,14,105,0,.917,2011-12,NJD,9,,4,0,14,0,0
