assists,year,games_played,points,goals,team,age,pim,plus_minus,league
60,1990-91,42,110,50,Laval-Laurentides,15,98,0,QAAA
75,1991-92,66,110,35,Victoriaville Tigres,16,63,0,QMJHL
92,1992-93,53,137,45,Victoriaville Tigres,17,85,0,QMJHL
6,1992-93,7,6,0,Canada,17,27,0,WJC-A
20,1994-95,18,34,14,Victoriaville Tigres,19,16,0,QMJHL
8,1994-95,7,10,2,Canada,19,4,0,WJC-A
13,1999-00,16,19,6,Hartford Wolf Pack,24,4,4,AHL
29,2002-03,40,38,9,Wilkes-Barre Scranton Pens,27,18,-10,AHL
8,2005-06,16,14,6,Manchester Monarchs,30,4,-7,AHL
39,2006-07,44,61,22,HC Davos,31,44,0,Swiss
30,2007-08,45,43,13,HC Davos,32,59,0,Swiss
23,2008-09,44,32,9,HC Davos,33,8,0,Swiss
21,2009-10,31,30,9,3 Teams,34,2,0,Swiss
2,2009-10,4,4,2,HC Davos,34,2,0,Swiss
2,2009-10,2,2,0,HC Fribourg-Gotteron,34,0,0,Swiss
17,2009-10,25,24,7,SCL Tigers Langnau,34,0,0,Swiss
