average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,11,1,0,NHL,21,8,124,7,24,2,1,0,0,1986-87,EDM,3,8,[],12.5,,44
,25,1,0,NHL,22,13,201,27,76,4,1,1,6,1987-88,EDM,5,20,[],6.6,,73
,5,0,0,NHL,23,4,94,2,26,0,0,1,0,1988-89,EDM,0,5,[],0.0,,36
,13,0,0,NHL,24,8,86,5,36,1,0,0,4,1989-90,EDM,1,12,[],2.8,,46
,10,0,0,NHL,25,5,150,6,48,3,0,2,0,1990-91,EDM,3,7,[],6.3,,67
,16,0,0,NHL,26,13,200,23,48,1,0,2,0,1991-92,TOT,1,15,[],2.1,,74
,5,0,0,NHL,26,4,78,4,7,0,0,1,0,1991-92,EDM,0,5,[],0.0,,18
,11,0,0,NHL,26,9,122,19,41,1,0,1,0,1991-92,NYR,1,10,[],2.4,,56
,19,0,0,NHL,27,16,153,9,54,2,0,1,0,1992-93,NYR,2,17,[],3.7,,82
,16,0,0,NHL,28,8,170,18,58,7,1,0,0,1993-94,NYR,8,8,[],13.8,,68
,4,0,0,NHL,29,2,70,3,29,1,0,1,0,1994-95,NYR,1,3,[],3.4,,44
,14,1,0,NHL,30,11,220,19,65,3,0,0,0,1995-96,NYR,3,11,[],4.6,,82
,12,0,0,NHL,31,8,167,22,55,3,0,1,0,1996-97,NYR,3,9,[],5.5,,80
,5,0,0,NHL,32,5,195,-25,23,0,0,0,0,1997-98,NYR,0,5,[],0.0,,63
13:57,9,0,0,NHL,33,7,60,-2,8,0,0,2,0,1998-99,NYR,0,9,[],0.0,628,45
