even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
1,0,NYR,1,42,20,1,,NHL,0,3,,1979-80,7,33.3,,0,1,-1
2,0,NYR,2,0,21,0,,NHL,0,18,,1980-81,12,11.1,,0,2,1
1,1,PHI,1,69,25,0,,NHL,0,11,,1984-85,18,9.1,,0,2,4
0,0,MNS,0,2,26,0,,NHL,0,0,,1985-86,2,0,,0,0,0
0,0,PHI,0,2,27,0,,NHL,0,0,,1986-87,5,0,,0,0,0
