shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0.0,1979-80,76,1,,0,9,0,0,-2,1,NYR,0,20,0,NHL,0,,20,1,[],0
10.2,1980-81,214,12,,0,49,2,5,10,14,NYR,5,21,0,NHL,0,,61,19,[],0
10.3,1981-82,152,8,,0,29,0,3,-8,8,NYR,3,22,0,NHL,0,,41,11,[],0
1.9,1982-83,199,9,,0,54,0,1,-32,9,HAR,1,23,0,NHL,0,,72,10,[],0
0.0,1983-84,163,8,,1,55,0,0,-17,9,HAR,0,24,0,NHL,0,,59,9,[],0
5.9,1984-85,130,4,,0,51,0,3,7,4,PHI,3,25,0,NHL,0,,50,7,[],0
6.8,1985-86,146,3,,0,44,0,2,8,3,TOT,3,26,0,NHL,1,,60,6,[],0
27.3,1985-86,55,1,,0,11,0,2,0,1,PHI,3,26,0,NHL,1,,17,4,[],0
0.0,1985-86,91,2,,0,33,0,0,8,2,MNS,0,26,0,NHL,0,,43,2,[],0
11.8,1986-87,136,2,,0,17,0,2,-8,2,PHI,2,27,1,NHL,0,,45,4,[],0
0.0,1987-88,98,1,,0,15,0,0,-1,1,BUF,0,28,0,NHL,0,,42,1,[],0
