giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,1,0,23,0,0,1,0,0,0,10,DET,0,0,[],0.0,0,0,1,0,0,0,2005-06,0,9:41,0,2,0,0
0,NHL,26,0,24,0,0,27,1,0,0,189,DET,0,0,[],3.7,1,0,-2,1,0,0,2006-07,0,7:15,0,22,0,0
13,NHL,77,1,25,65,176,87,12,111,0,740,DET,11,40.4,[],5.7,5,7,2,5,44,0,2007-08,17,9:37,0,43,0,7
11,NHL,79,2,26,43,171,110,19,107,2,823,DET,16,45.6,[],5.5,4,13,-7,6,36,1,2008-09,13,10:25,1,46,0,11
7,NHL,74,2,27,66,161,95,21,72,1,701,CHI,27,44.1,[],10.5,9,11,0,10,52,0,2009-10,11,9:29,1,28,0,10
25,NHL,81,2,28,164,295,178,42,77,10,1241,CHI,50,42.3,[],8.4,12,27,-13,15,120,0,2010-11,24,15:19,3,60,0,17
27,NHL,80,2,29,126,299,143,32,45,6,1382,FLA,60,52.6,[],7.0,8,22,-8,10,140,0,2011-12,35,17:16,2,32,0,16
11,NHL,47,0,30,44,165,92,27,23,5,831,FLA,24,48.8,[],16.3,10,12,-8,15,42,1,2012-13,25,17:41,4,28,0,7
10,NHL,49,0,31,21,151,95,12,31,0,778,FLA,17,27.6,[],4.2,3,8,0,4,8,1,2013-14,19,15:53,0,18,0,8
12,NHL,64,1,32,1,184,106,8,88,0,826,FLA,11,75.0,[],1.9,2,6,-19,2,3,0,2014-15,22,12:54,0,28,0,6
