power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,5,7,0,WHA,1974-75,23,2,PHR,,5,2,0,0,0,,,0,0
0,5,4,0,WHA,1975-76,24,1,PHR,,3,2,-3,0,0,,,0,0
0,3,5,1,WHA,1978-79,27,3,CNS,,2,6,2,0,0,,,0,0
1,5,3,0,NHL,1980-81,29,1,QUE,,2,17,-4,0,9,,,11.1,0
4,10,11,1,NHL,1981-82,30,7,NYR,,4,11,-1,0,26,,,26.9,3
0,4,1,0,NHL,1982-83,31,1,NYR,,0,0,-3,0,3,,,33.3,1
