assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Saskatoon Tigers,4,1932-33,3,4,0,18,0,M-Cup
7,Saskatoon Wesleys,12,1933-34,9,19,2,19,0,N-SJHL
1,Sudbury Cub Wolves,2,1934-35,5,3,0,20,0,NOJHA
0,Sudbury Frood Miners,1,1936-37,2,1,0,22,0,NBHL
14,Sudbury Frood Miners,8,1936-37,14,22,6,22,0,Al-Cup
2,Providence Reds,4,1937-38,7,6,0,23,0,IAHL
2,Pittsburgh Hornets,1,1945-46,6,3,0,31,0,AHL
6,Pittsburgh Hornets,3,1946-47,12,9,6,32,0,AHL
0,Pittsburgh Hornets,0,1947-48,2,0,2,33,0,AHL
6,Regina Capitals,4,1948-49,8,10,4,34,0,WCSHL
6,Regina Capitals,8,1948-49,14,14,11,34,0,Al-Cup
0,Regina Capitals,1,1951-52,3,1,9,37,0,SSHL
