assists,year,games_played,points,goals,team,age,pim,plus_minus,league
2,1933-34,3,6,4,St. Michael\'s Majors,19,4,0,OHA-Jr.
20,1933-34,11,35,15,St. Michael\'s Majors,19,14,0,M-Cup
3,1935-36,8,5,2,Windsor Bulldogs,21,6,0,IHL
1,1936-37,5,1,0,Pittsburgh Hornets,22,2,0,IAHL
5,1937-38,7,6,1,Providence Reds,23,0,0,IAHL
0,1938-39,1,0,0,Hershey Bears,24,0,0,IAHL
4,1939-40,9,7,3,Pittsburgh Hornets,25,6,0,IAHL
2,1942-43,7,11,9,Windsor Abars,28,0,0,ONDHL
3,1943-44,3,5,2,Windsor Gotfredson,29,2,0,ONDHL
4,1944-45,2,8,4,Windsor Gotfredson,30,0,0,ONDHL
