assists,year,games_played,points,goals,team,age,pim,plus_minus,league
3,1932-33,3,6,3,Windsor Walkerton Tech,18,0,0,High-ON
3,1932-33,18,12,9,Windsor Wanderers,18,14,0,MOHL
11,1933-34,11,25,14,St. Michael\'s Majors,19,4,0,OHA-Jr.
15,1934-35,44,22,7,Windsor Bulldogs,20,12,0,IHL
15,1935-36,48,29,14,Windsor Bulldogs,21,43,0,IHL
16,1936-37,50,31,15,Pittsburgh Hornets,22,28,0,IAHL
12,1937-38,36,18,6,2 Teams,23,21,0,IAHL
4,1937-38,5,4,0,Pittsburgh Hornets,23,4,0,IAHL
8,1937-38,31,14,6,Providence Reds,23,17,0,IAHL
17,1938-39,50,26,9,Hershey Bears,24,20,0,IAHL
25,1939-40,56,37,12,Pittsburgh Hornets,25,22,0,IAHL
16,1940-41,46,22,6,3 Teams,26,14,0,AHL
13,1940-41,31,19,6,Pittsburgh Hornets,26,6,0,AHL
1,1940-41,6,1,0,Springfield Indians,26,2,0,AHL
2,1940-41,9,2,0,Buffalo Bisons,26,6,0,AHL
10,1941-42,50,14,4,2 Teams,27,6,0,AHL
10,1941-42,48,13,3,Buffalo Bisons,27,6,0,AHL
0,1941-42,2,1,1,Philadelphia Ramblers,27,0,0,AHL
14,1942-43,11,23,9,Windsor Abars,28,2,0,ONDHL
11,1943-44,9,25,14,Windsor Gotfredson,29,2,0,ONDHL
0,1944-45,2,2,2,Windsor Gotfredson,30,2,0,ONDHL
