assists,year,games_played,points,goals,team,age,pim,plus_minus,league
15,1985-86,29,23,8,Stratford Cullitons,17,99,0,ON-Jr.B
6,1986-87,32,8,2,Bowling Green University,18,54,0,CCHA
23,1987-88,44,25,2,Bowling Green University,19,78,0,CCHA
26,1988-89,46,35,9,Bowling Green University,20,51,0,CCHA
22,1989-90,43,30,8,Bowling Green University,21,74,0,CCHA
15,1990-91,32,16,1,Fredericton Canadiens,22,45,0,AHL
17,1990-91,36,24,7,Winston-Salem Thunderbirds,22,58,0,ECHL
15,1991-92,45,17,2,Canada,23,44,0,Nat-Tm
0,1991-92,8,2,2,Canada,23,6,0,Olympics
2,1991-92,13,2,0,Salt Lake Golden Eagles,23,12,0,IHL
0,1993-94,2,0,0,Saint John Flames,25,0,0,AHL
11,1995-96,23,15,4,Saint John Flames,27,37,0,AHL
21,1996-97,73,31,10,Las Vegas Thunder,28,101,0,IHL
9,1997-98,45,17,8,Chicago Wolves,29,61,-1,IHL
6,1998-99,34,9,3,Chicago Wolves,30,61,4,IHL
2,1999-00,27,3,1,Chicago Wolves,31,44,0,IHL
6,2000-01,72,8,2,Chicago Wolves,32,63,3,IHL
12,2001-02,48,14,2,Nurnberg Ice Tigers,33,95,0,Germany
10,2002-03,38,12,2,Nurnberg Ice Tigers,34,56,0,Germany
12,2003-04,40,16,4,Nurnberg Ice Tigers,35,84,0,Germany
