assists,team,goals,year,games_played,points,pim,age,plus_minus,league
1,Saskatoon Quakers,2,1947-48,2,3,4,18,0,SAHA
5,Windsor Hettche,8,1948-49,13,13,2,19,0,IHL
6,Windsor Spitfires,2,1949-50,11,8,6,20,0,OHA-Jr.
3,New York Rovers,1,1950-51,5,4,2,21,0,EAHL
2,Saskatoon Quakers,0,1953-54,6,2,0,24,0,WHL
0,Nelson Maple Leafs,1,1955-56,5,1,2,26,0,WIHL
8,Moncton Beavers,4,1961-62,11,12,4,32,0,NSSHL
4,Moncton Hawks,3,1965-66,7,7,2,36,0,Exhib.
