pim,team,assists,plus_minus,points,league,games_played,year,age,goals
10,Kamloops Blazers,8,0,17,WHL,16,1988-89,17,9
8,Kamloops Blazers,4,0,8,WHL,17,1989-90,18,4
0,Kamloops Blazers,4,0,4,M-Cup,3,1989-90,18,0
8,Kamloops Blazers,10,0,16,WHL,12,1990-91,19,6
16,Kamloops Blazers,20,0,29,WHL,17,1991-92,20,9
4,Kamloops Blazers,4,0,9,M-Cup,5,1991-92,20,5
8,Kalamazoo Wings,9,0,12,IHL,15,1994-95,23,3
0,Michigan K-Wings,6,0,17,IHL,10,1995-96,24,11
2,Orlando Solar Bears,1,0,1,IHL,3,1996-97,25,0
0,Dusseldorfer EG,0,0,0,Germany,2,1997-98,26,0
0,Houston Aeros,0,0,0,IHL,1,1998-99,27,0
16,Colorado Gold Kings,5,0,7,WCHL,8,2000-01,29,2
0,Colorado Gold Kings,2,0,3,WCHL,5,2001-02,30,1
