game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,33.3,-8,6,1,21,,5,2,1986-87,4,0,2,1,LAK,,4,,NHL
0,9.1,-5,11,1,22,,5,3,1987-88,4,0,1,0,LAK,,14,,NHL
0,17.4,-4,23,2,23,,11,4,1988-89,8,0,4,2,LAK,,12,,NHL
0,6.3,-2,32,1,24,,10,9,1989-90,11,0,2,1,LAK,,6,,NHL
0,10.3,7,39,1,25,,12,8,1990-91,12,0,4,3,LAK,,8,,NHL
0,0.0,0,14,0,27,,6,5,1992-93,5,0,0,0,QUE,,6,,NHL
0,0.0,-1,11,0,28,,4,2,1993-94,2,0,0,0,STL,,2,,NHL
0,0.0,0,22,0,29,,7,4,1994-95,4,0,0,0,STL,,2,,NHL
1,5.6,-3,18,1,31,,7,4,1996-97,5,0,1,0,OTT,,0,,NHL
0,0.0,-8,28,0,32,,10,4,1997-98,4,0,0,0,STL,,6,,NHL
0,0.0,2,10,0,33,22:01,6,2,1998-99,2,0,0,0,PHI,,2,132,NHL
0,0.0,2,14,0,34,21:26,9,4,1999-00,4,0,0,0,DET,,10,193,NHL
0,15.4,0,13,2,35,17:20,6,4,2000-01,6,0,2,0,DET,,0,104,NHL
0,0.0,6,15,0,36,13:36,0,6,2001-02,6,0,0,0,DET,SC,24,313,NHL
