bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,0,4.33,0,0,NHL,0,19,0,0,0,0,0,0,26,0,1980-81,MNS,2,,0,0,4,6,360
0,0,0,4.00,0,0,NHL,0,20,0,0,2,0,0,0,4,0,1981-82,MNS,1,,0,0,0,2,60
0,0,0,4.90,0,0,NHL,0,21,0,0,2,0,0,0,20,0,1982-83,MNS,2,,0,0,2,4,245
0,1,1,3.07,-0.98,380,NHL,0,22,0,340,0,0,0,103,40,.895,1983-84,MNS,7,,1,0,6,13,782
0,0,0,3.91,-2.55,80,NHL,0,23,0,68,0,0,0,127,12,.850,1984-85,MNS,1,,0,0,1,4,184
0,0,0,3.40,-0.43,158,NHL,0,24,0,141,0,0,0,103,17,.892,1985-86,MNS,3,,0,0,2,5,300
0,0,0,2.69,2.62,187,NHL,0,28,0,169,2,0,0,87,18,.904,1989-90,WSH,3,,0,0,4,8,401
0,0,1,2.79,1.68,294,NHL,0,29,0,265,2,0,0,95,29,.901,1990-91,WSH,5,,1,0,5,11,624
0,0,0,3.15,-0.02,212,NHL,0,30,0,190,0,0,0,100,22,.896,1991-92,WSH,4,,0,0,3,7,419
0,0,0,4.54,0,65,NHL,0,31,0,56,0,0,0,0,9,.862,1992-93,WSH,1,,0,0,1,2,119
0,1,0,2.94,-3.47,191,NHL,0,32,0,170,2,0,0,120,21,.890,1993-94,WSH,2,,0,0,5,8,429
0,0,0,6.00,0,13,NHL,0,34,0,11,0,0,0,0,2,.846,1995-96,TOR,0,,0,0,0,2,20
