power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,9,1,0,NHL,1976-77,20,0,TOR,,1,20,-1,0,9,,,0.0,0
0,7,1,0,NHL,1977-78,21,0,TOR,,1,8,-4,0,10,,,0.0,0
0,7,0,0,NHL,1978-79,22,0,PIT,,0,12,-4,0,23,,,0.0,0
0,5,1,0,NHL,1979-80,23,1,PIT,,0,4,-1,0,6,,,16.7,1
0,5,9,0,NHL,1980-81,24,4,PIT,,5,9,6,1,24,,,16.7,3
0,5,4,0,NHL,1981-82,25,1,PIT,,3,16,-4,0,7,,,14.3,1
0,3,2,0,NHL,1983-84,27,0,WIN,,2,4,0,0,5,,,0.0,0
1,8,6,0,NHL,1984-85,28,1,WIN,,5,13,-4,0,15,,,6.7,0
0,10,6,0,NHL,1986-87,30,1,WIN,,5,18,-4,0,12,,,8.3,1
0,5,2,0,NHL,1987-88,31,0,WIN,,2,10,0,0,15,,,0.0,0
0,5,1,0,NHL,1991-92,35,1,WIN,,0,6,-3,0,4,,,25.0,1
