pim,team,assists,plus_minus,points,league,games_played,year,age,goals
17,Oshawa Generals,13,0,30,OHA-Jr.,36,1947-48,18,17
15,Oshawa Generals,26,0,49,OHA-Jr.,46,1948-49,19,23
10,Los Angeles Monarchs,14,0,32,PCHL,44,1949-50,20,18
2,Pittsburgh Hornets,3,0,4,AHL,17,1949-50,20,1
4,St. Michael\'s Monarchs,13,0,24,OMHL,23,1950-51,21,11
0,St. Michael\'s Monarchs,5,0,9,Alx-Cup,10,1950-51,21,4
0,Pittsburgh Hornets,0,0,0,AHL,4,1951-52,22,0
6,Saint John Beavers,33,0,64,MMHL,60,1951-52,22,31
2,Saint John Beavers,2,0,4,Alx-Cup,5,1951-52,22,2
0,Ottawa Senators,1,0,1,QMHL,3,1952-53,23,0
11,Smiths Falls Rideaus,43,0,65,OHA-Sr.,45,1952-53,23,22
0,Ottawa Senators,43,0,71,QHL,71,1953-54,24,28
6,Buffalo Bisons,31,0,49,AHL,64,1954-55,25,18
6,Providence Reds,16,0,34,AHL,55,1955-56,26,18
4,Providence Reds,24,0,33,AHL,59,1956-57,27,9
11,Calgary Stampeders,31,0,42,WHL,69,1957-58,28,11
4,Calgary Stampeders,13,0,27,WHL,53,1958-59,29,14
7,Calgary Stampeders,27,0,33,WHL,69,1959-60,30,6
20,Sault Ste. Marie Thunderbirds,23,0,34,EPHL,66,1960-61,31,11
8,Sault Ste. Marie Greyhounds,28,0,37,EPHL,67,1961-62,32,9
4,Clinton Comets,44,0,61,EHL,65,1962-63,33,17
0,2 Teams,10,0,13,EHL,36,1963-64,34,3
0,New Haven Blades,7,0,9,EHL,21,1963-64,34,2
0,Clinton Comets,3,0,4,EHL,15,1963-64,34,1
14,Nashville Dixie Flyers,42,0,55,EHL,66,1964-65,35,13
