assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1935-36,2,2,2,Niagara Falls Cataracts,16,0,0,OHA-Jr.
2,1936-37,2,5,3,Stratford Midgets,17,17,0,OHA-Jr.
1,1937-38,7,6,5,Stratford Midgets,18,12,0,OHA-Jr.
1,1938-39,2,1,0,Stratford Majors,19,2,0,OHA-Sr.
3,1939-40,4,6,3,Stratford Canadians,20,10,0,MOHL
2,1940-41,3,2,0,Toronto People\'s Credit,21,0,0,TIHL
6,1941-42,7,11,5,Toledo Babcocks,22,28,0,MOHL
10,1942-43,7,26,16,Windsor Colonial Tools,23,14,0,MOHL
12,1943-44,11,20,8,Brooklyn Crescents,24,6,0,EAHL
0,1944-45,1,0,0,Baltimore Orioles,25,0,0,EAHL
9,1944-45,12,17,8,New York Rovers,25,14,0,EAHL
7,1945-46,12,11,4,Philadelphia Falcons,26,4,0,EAHL
2,1946-47,2,2,0,Fresno Falcons,27,0,0,PCHL
