even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,CBH,0,8,21,0,,NHL,0,13,,1965-66,5,0.0,,0,0,-3
0,0,CBH,0,4,22,0,,NHL,0,6,,1966-67,6,0.0,,0,0,-1
3,0,BOS,3,2,23,0,,NHL,0,10,,1967-68,4,30.0,,0,3,0
3,7,BOS,5,4,24,0,,NHL,0,33,,1968-69,10,15.2,,2,12,3
3,10,BOS,3,7,25,1,,NHL,0,36,,1969-70,14,8.3,SC,0,13,11
2,5,BOS,2,6,26,0,,NHL,0,32,,1970-71,7,6.3,,0,7,2
6,8,BOS,0,0,27,0,,NHL,1,36,,1971-72,15,25.0,SC,2,17,10
0,0,BOS,1,7,28,0,,NHL,0,9,,1972-73,5,11.1,,1,1,-6
4,10,BOS,6,16,29,1,,NHL,0,38,,1973-74,16,15.8,,2,16,-2
0,1,BOS,1,0,30,0,,NHL,0,6,,1974-75,3,16.7,,1,2,1
0,6,BOS,4,4,31,1,,NHL,0,18,,1975-76,12,22.2,,4,10,1
