assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1935-36,1,1,1,Montreal LaFontaine,18,2,0,MCJHL
0,1937-38,5,0,0,New Haven Eagles,20,0,0,IAHL
12,1938-39,29,36,24,Lachine Rapides,21,39,0,QPHL
23,1939-40,35,53,30,Valleyfield Braves,22,37,0,QPHL
3,1941-42,14,5,2,Valleyfield V\'s,24,16,0,MDHL
1,1942-43,13,4,3,Montreal Army,25,0,0,MCHL
10,1943-44,25,21,11,Providence Reds,26,10,0,AHL
3,1944-45,11,5,2,Lachine Rapides,27,12,0,QPHL
29,1945-46,34,79,50,St-Hyacinthe Saints,28,26,0,QPHL
36,1946-47,43,68,32,Sherbrooke Saints,29,8,0,QPHL
46,1947-48,52,108,62,Sherbrooke Saints,30,24,0,QPHL
58,1948-49,60,111,53,Sherbrooke Red Raiders,31,29,0,QSHL
