age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,SC,16.7,1,1,6,NHL,6,0,1994-95,0,12,2,,1,4,,NJD,3
23,,8.9,1,1,0,NHL,10,2,1996-97,0,45,4,,1,6,,NJD,5
24,,7.1,0,0,2,NHL,6,1,1997-98,0,14,1,,0,2,,NJD,1
25,,6.7,0,0,-1,NHL,7,1,1998-99,0,15,1,123,0,2,,NJD,1
28,,12.1,2,1,-1,NHL,6,1,2001-02,0,33,4,124,1,0,,BOS,5
29,,0.0,0,2,-1,NHL,5,0,2002-03,0,6,0,93,0,0,,BOS,2
30,,7.1,1,0,-5,NHL,7,0,2003-04,0,14,1,116,0,8,,BOS,1
33,,4.3,1,1,-2,NHL,5,0,2006-07,0,23,1,102,0,4,,MIN,2
34,,6.5,1,4,4,NHL,6,1,2007-08,0,31,2,135,0,8,55,MIN,6
35,,5.6,0,1,2,NHL,7,0,2008-09,0,18,1,99,1,4,28,NJD,2
36,,16.7,0,1,-1,NHL,5,0,2009-10,0,12,2,74,2,0,24,NJD,3
38,,5.9,1,2,-2,NHL,7,0,2011-12,0,17,1,104,0,0,31,BOS,3
