pim,team,assists,plus_minus,points,league,games_played,year,age,goals
4,Kitchener Greenshirts,0,0,1,OHA-Jr.,7,1934-35,18,1
16,Baltimore Orioles,5,0,14,EAHL,48,1936-37,20,9
26,Baltimore Orioles,11,0,25,EAHL,56,1937-38,21,14
22,Detroit Holzbaugh,7,0,16,MOHL,35,1939-40,23,9
18,Indianapolis Capitols,8,0,13,AHL,54,1940-41,24,5
26,Indianapolis Capitols,5,0,9,AHL,54,1941-42,25,4
10,Indianapolis Capitols,4,0,5,AHL,22,1942-43,26,1
4,Indianapolis Capitols,3,0,3,AHL,17,1945-46,29,0
6,Hamilton Patricias,4,0,7,OHA-Sr.,14,1946-47,30,3
16,Kitchener Dutchmen,15,0,22,OHA-Sr.,36,1947-48,31,7
20,Kitchener Dutchmen,13,0,14,OHA-Sr.,39,1948-49,32,1
10,Kitchener Dutchmen,9,0,10,OHA-Sr.,26,1949-50,33,1
4,Kitchener Dutchmen,9,0,11,OMHL,23,1950-51,34,2
