assists,year,games_played,points,goals,team,age,pim,plus_minus,league
14,1980-81,46,23,9,Lac St-Louis Lions,16,34,0,QAAA
31,1981-82,44,40,9,Lac St-Louis Lions,17,138,0,QAAA
45,1982-83,63,61,16,Laval Voisins,18,144,0,QMJHL
33,1983-84,54,45,12,Laval Voisins,19,80,0,QMJHL
0,1984-85,1,0,0,Laval Voisins,20,2,0,QMJHL
3,1984-85,8,4,1,Sherbrooke Canadiens,20,4,0,AHL
2,1984-85,7,2,0,Canada,20,12,0,WJC-A
7,1985-86,25,11,4,Sherbrooke Canadiens,21,29,0,AHL
18,1986-87,75,24,6,Sherbrooke Canadiens,22,87,0,AHL
18,1987-88,59,26,8,2 Teams,23,47,0,AHL
10,1987-88,26,14,4,Moncton Hawks,23,20,0,AHL
8,1987-88,33,12,4,Fredericton Express,23,27,0,AHL
19,1988-89,57,24,5,Halifax Citadels,24,65,0,AHL
29,1989-90,68,37,8,Canada,25,60,0,Nat-Tm
6,1991-92,19,7,1,Adirondack Red Wings,27,33,0,AHL
36,1992-93,64,43,7,Adirondack Red Wings,28,54,0,AHL
1,1993-94,8,1,0,Canada,29,4,0,WC-A
4,1999-00,13,6,2,Long Beach Ice Dogs,35,8,4,IHL
2,2000-01,8,3,1,Manitoba Moose,36,2,-3,IHL
7,2001-02,12,10,3,Laval Chiefs,37,12,0,QSPHL
