game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,0.0,-5,15,0,20,,5,0,1969-70,0,0,0,0,NYR,,2,,NHL
0,0.0,2,4,0,22,,4,1,1971-72,1,0,0,0,NYR,,0,,NHL
0,5.6,-4,18,1,23,,4,1,1972-73,2,0,1,0,STL,,2,,NHL
0,0,0,0,0,25,,2,0,1974-75,0,0,0,0,VAN,,0,,NHL
0,0.0,-3,14,0,26,,9,0,1975-76,0,0,0,0,LAK,,11,,NHL
0,0.0,0,2,0,27,,1,0,1976-77,0,0,0,0,LAK,,2,,NHL
0,0,-1,0,0,28,,1,0,1977-78,0,0,0,0,EDO,,0,,WHA
