goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.9,0,NHL,7,NJD,286,22,3,0,0,21,0,0,1,0,0,0,0,0,0,.879,1986-87,173,4.41,0,[],152
1.1,0,NHL,8,NJD,402,24,4,0,0,18,0,0,2,0,0,0,0,0,0,.894,1988-89,170,2.69,2,[],152
6.1,0,NHL,35,NJD,1931,25,12,92,0,110,0,9.34,3,0,15,0,0,0,0,.890,1989-90,1004,3.42,0,[],894
8.2,0,NHL,53,NJD,2970,26,21,94,3,144,0,9.65,7,1,24,3,0,0,0,.893,1990-91,1348,2.91,2,"[{'link': '/awards/voting-1991.html#AS', 'name': 'AS-10'}, {'link': '/awards/voting-1991.html#byng', 'name': 'Byng-13'}, {'link': '/awards/voting-1991.html#vezina', 'name': 'Vezina-8'}]",1204
8.1,0,NHL,54,NJD,3186,27,22,100,1,169,0,0.00,10,1,22,1,0,0,0,.888,1991-92,1511,3.18,13,"[{'link': '/awards/voting-1992.html#vezina', 'name': 'Vezina-8'}]",1342
7.1,0,NHL,48,NJD,2672,28,21,99,0,151,0,1.37,3,2,19,0,0,0,0,.886,1992-93,1324,3.39,6,[],1173
7.4,0,NHL,44,NJD,2340,29,11,89,2,106,0,13.72,4,2,20,2,0,0,0,.907,1993-94,1141,2.72,4,[],1035
1.7,0,NHL,15,NJD,734,30,7,101,0,31,0,-0.28,2,0,3,0,0,0,0,.900,1994-95,309,2.53,0,[],278
5.8,0,NHL,50,TOT,2726,31,29,114,5,164,0,-20.37,1,0,16,5,0,0,0,.884,1995-96,1414,3.61,4,[],1250
0.5,0,NHL,4,NJD,210,31,0,0,0,9,0,0,0,0,3,0,0,0,0,.902,1995-96,92,2.57,0,[],83
5.2,0,NHL,46,SJS,2516,31,29,115,5,155,0,-20.71,1,0,13,5,0,0,0,.883,1995-96,1322,3.70,4,[],1167
3.8,0,NHL,29,TOT,1629,32,11,104,0,74,0,-3.02,5,0,10,0,0,0,0,.901,1996-97,745,2.73,0,[],671
2.8,0,NHL,22,SJS,1200,32,10,104,0,55,0,-2.31,3,0,6,0,0,0,0,.901,1996-97,553,2.75,0,[],498
1.0,0,NHL,7,CHI,429,32,1,0,0,19,0,0,2,0,4,0,0,0,0,.901,1996-97,192,2.66,0,[],173
3.0,0,NHL,21,CHI,1222,33,10,101,1,49,0,-0.34,2,2,8,1,0,0,0,.906,1997-98,519,2.41,2,[],470
1.4,0,NHL,12,NJD,726,34,3,0,1,30,0,0,1,1,8,1,0,0,0,.898,1998-99,294,2.48,0,[],264
0.9,0,NHL,12,NJD,649,35,9,0,0,37,0,0,0,0,2,0,0,0,0,.876,1999-00,299,3.42,2,[],262
2.0,0,NHL,18,TOT,896,36,9,108,0,39,0,-3.01,2,0,4,0,0,0,0,.895,2000-01,372,2.61,2,[],333
0.5,0,NHL,10,NJD,453,36,5,0,0,21,0,0,1,0,2,0,0,0,0,.874,2000-01,167,2.78,0,[],146
1.5,0,NHL,8,NYI,443,36,4,0,0,18,0,0,1,0,2,0,0,0,0,.912,2000-01,205,2.44,2,[],187
