giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,49,4,20,0,0,71,19,0,3,750,BUF,0,0,[],12.7,8,10,-8,9,0,0,2003-04,0,15:19,1,12,0,7
0,NHL,70,1,22,0,0,151,46,0,10,1192,BUF,0,0,[],11.9,12,28,1,18,0,1,2005-06,0,17:02,5,57,0,18
0,NHL,75,3,23,0,0,130,63,0,8,1385,BUF,0,0,"[{'link': '/awards/voting-2007.html#selke', 'name': 'Selke-17'}]",16.2,14,42,37,21,0,1,2006-07,0,18:28,6,60,1,33
66,NHL,78,4,24,673,365,218,81,35,17,1636,BUF,47,51.0,"[{'link': '/awards/voting-2008.html#selke', 'name': 'Selke-65'}]",14.7,23,49,13,32,700,3,2007-08,48,20:58,6,46,2,30
100,NHL,82,9,25,724,399,221,70,41,21,1738,BUF,52,50.7,"[{'link': '/awards/voting-2009.html#selke', 'name': 'Selke-39'}]",12.7,18,42,-5,28,745,1,2008-09,44,21:12,9,38,0,21
68,NHL,80,6,26,603,393,215,69,27,15,1551,BUF,51,50.3,[],12.1,15,43,9,26,610,1,2009-10,47,19:23,10,48,0,28
25,NHL,35,1,27,283,151,89,35,16,12,684,BUF,37,46.4,"[{'link': '/awards/voting-2011.html#byng', 'name': 'Byng-32'}]",11.2,8,25,-1,10,245,0,2010-11,16,19:32,2,16,0,13
59,NHL,80,2,28,657,326,176,44,35,6,1546,BUF,46,50.6,[],9.7,10,27,-7,17,672,1,2011-12,50,19:19,6,54,0,21
24,NHL,42,1,29,352,153,85,28,15,6,781,TOT,31,45.6,[],8.2,5,21,4,7,295,0,2012-13,30,18:36,2,6,1,14
18,NHL,30,1,29,277,113,65,22,15,5,569,DAL,23,46.7,[],6.2,3,18,3,4,243,0,2012-13,26,18:58,1,4,1,12
6,NHL,12,0,29,75,40,20,6,0,1,212,VAN,8,40.9,[],15.0,2,3,1,3,52,0,2012-13,4,17:39,1,2,0,2
20,NHL,75,2,30,247,212,114,37,13,12,1022,STL,22,47.0,[],7.9,5,28,-1,9,219,0,2013-14,30,13:37,4,30,0,16
34,NHL,72,2,31,494,196,113,32,32,3,1128,TOT,42,45.2,[],10.6,8,20,-13,12,407,0,2014-15,43,15:40,4,24,0,17
16,NHL,26,0,31,127,64,35,10,3,2,351,NSH,14,48.0,[],2.9,1,9,0,1,117,0,2014-15,10,13:31,0,2,0,7
18,NHL,46,2,31,367,132,78,22,29,1,777,EDM,28,44.1,[],14.1,7,11,-13,11,290,0,2014-15,33,16:54,4,22,0,10
