game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,0,0,1,0,0,3,0,0,1990-91,0,0,1,0,5,NHL,100.0,0,0,0,0,19,0,,[],1,0,1,,WIN
0,0,0,19,0,0,10,0,0,1991-92,0,0,2,0,2,NHL,10.5,0,0,0,0,20,0,,[],2,0,2,,WIN
0,0,-6,5,0,0,7,0,0,1992-93,0,0,0,0,2,NHL,0.0,0,0,0,0,21,0,,[],0,0,0,,WIN
0,0,11,55,0,1,39,8,0,1993-94,7,1,5,0,31,NHL,9.1,0,0,0,0,22,0,,[],13,0,4,,DET
0,0,1,44,0,1,36,6,0,1994-95,5,0,2,0,22,NHL,4.5,0,0,0,0,23,0,,[],8,0,2,,DET
0,0,2,51,0,2,52,9,0,1995-96,7,1,7,0,32,NHL,13.7,0,0,0,0,24,0,,[],16,0,6,,DET
1,0,-11,85,0,1,76,5,0,1996-97,4,0,8,1,73,NHL,9.4,0,0,0,0,25,0,,[],13,0,7,,DET
4,0,5,96,0,0,64,10,0,1997-98,9,0,13,1,45,NHL,13.5,1,0,0,0,26,0,,[],23,0,12,,DET
1,0,2,78,0,3,80,14,0,1998-99,11,1,4,0,79,NHL,5.1,0,0,0,0,27,0,12:43,[],18,0,3,1017,DET
3,0,3,76,0,0,51,7,0,1999-00,7,0,5,0,28,NHL,6.6,0,0,0,0,28,0,13:33,[],12,0,5,691,DET
1,0,17,123,0,2,75,17,0,2000-01,15,1,8,0,38,NHL,6.5,0,0,0,0,29,0,13:26,"[{'link': '/awards/voting-2001.html#selke', 'name': 'Selke-22'}]",25,0,7,1008,DET
3,0,26,137,0,1,82,15,0,2001-02,14,2,15,0,56,NHL,10.9,0,0,0,0,30,0,15:35,[],30,0,13,1278,DET
2,0,6,142,0,2,82,21,0,2002-03,18,1,14,0,82,NHL,9.9,1,0,0,0,31,0,16:12,"[{'link': '/awards/voting-2003.html#selke', 'name': 'Selke-15'}]",35,0,13,1328,DET
1,0,22,149,0,2,67,16,0,2003-04,12,5,24,2,31,NHL,16.1,2,0,0,0,32,0,17:44,"[{'link': '/awards/voting-2004.html#hart', 'name': 'Hart-28'}, {'link': '/awards/selke.html#2004', 'name': None}]",40,0,17,1188,DET
1,0,3,153,0,1,80,22,0,2005-06,19,1,10,0,58,NHL,6.5,2,0,0,0,34,0,17:46,"[{'link': '/awards/voting-2006.html#selke', 'name': 'Selke-6'}]",32,0,9,1422,DET
1,0,7,157,0,0,81,15,0,2006-07,15,5,14,0,58,NHL,8.9,0,0,0,0,35,0,16:45,"[{'link': '/awards/voting-2007.html#selke', 'name': 'Selke-8'}]",29,0,9,1357,DET
2,19,-2,97,391,0,65,8,553,2007-08,8,2,9,0,68,NHL,9.3,0,90,58.6,25,36,161,15:38,"[{'link': '/awards/voting-2008.html#selke', 'name': 'Selke-32'}, {'link': '/awards/voting-2008.html#selke', 'name': 'Selke-65'}]",17,17,7,1016,DET
2,16,-13,93,393,1,79,10,594,2008-09,9,1,7,0,40,NHL,7.5,0,102,60.2,20,37,139,11:59,"[{'link': '/awards/voting-2009.html#selke', 'name': 'Selke-38'}]",17,9,6,947,DET
0,11,-2,98,153,1,81,15,166,2009-10,14,0,7,1,28,NHL,7.1,0,99,52.0,19,38,155,11:32,[],22,12,6,935,DET
1,16,1,57,73,0,47,5,95,2010-11,5,0,6,0,12,NHL,10.5,0,45,56.5,11,39,89,10:27,[],11,8,6,491,DET
