game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,0.0,-2,1,0,20,,2,0,1991-92,0,0,0,0,WIN,,0,,NHL
0,13.3,5,15,0,22,,7,2,1993-94,4,1,2,1,DET,,4,,NHL
1,18.2,-2,22,0,23,,18,1,1994-95,5,1,4,3,DET,,12,,NHL
0,16.0,2,25,0,24,,18,2,1995-96,6,1,4,3,DET,,18,,NHL
0,6.7,5,30,0,25,,0,4,1996-97,6,1,2,1,DET,SC,12,,NHL
1,5.0,4,20,0,26,,19,3,1997-98,4,0,1,1,DET,SC,12,,NHL
0,0.0,-1,9,0,27,116,10,1,1998-99,1,0,0,0,DET,,6,,NHL
0,12.5,4,16,0,28,112,9,0,1999-00,2,0,2,2,DET,,6,,NHL
0,0.0,-3,7,0,29,97,6,1,2000-01,1,0,0,0,DET,,2,,NHL
0,4.5,4,44,0,30,391,0,3,2001-02,5,0,2,2,DET,SC,20,,NHL
0,0.0,-2,8,0,31,70,4,0,2002-03,0,0,0,0,DET,,4,,NHL
0,4.3,1,23,0,32,222,12,3,2003-04,4,0,1,1,DET,,6,,NHL
0,0.0,3,14,0,34,120,6,0,2005-06,0,0,0,0,DET,,6,,NHL
0,7.7,-5,26,0,35,299,18,0,2006-07,2,0,2,2,DET,,24,,NHL
1,8.1,0,37,0,36,340,0,1,2007-08,4,0,3,3,DET,SC,10,67,NHL
0,16.7,0,6,0,37,69,8,0,2008-09,1,0,1,1,DET,,0,12,NHL
0,0.0,0,4,0,38,89,12,0,2009-10,0,0,0,0,DET,,16,7,NHL
0,0.0,2,3,0,39,75,8,1,2010-11,1,0,0,0,DET,,2,11,NHL
