shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
13.6,0,2001-02,14,13,1336,1,0,0,169,8,16,-4,22,FLA,23,0,0,23,3,NHL,1,0,16:55,0,79,0,45,"[{'link': '/awards/voting-2002.html#calder', 'name': 'Calder-3'}]",6
10.7,0,2002-03,20,12,1352,1,0,0,187,10,17,-6,23,FLA,20,0,0,24,3,NHL,0,0,17:20,0,78,0,43,[],3
6.0,0,2003-04,24,15,1082,0,0,0,168,6,8,-6,21,FLA,10,0,0,25,2,NHL,0,0,14:14,0,76,0,31,[],2
12.2,0,2005-06,40,7,1159,0,0,0,164,20,12,-9,27,TOT,20,0,0,27,4,NHL,0,0,14:52,0,78,0,47,[],8
8.8,0,2005-06,4,1,353,0,0,0,57,2,3,-11,3,FLA,5,0,0,27,0,NHL,0,0,14:44,0,24,0,8,[],2
14.0,0,2005-06,36,6,805,0,0,0,107,18,9,2,24,CGY,15,0,0,27,4,NHL,0,0,14:55,0,54,0,39,[],6
19.7,0,2006-07,26,21,1408,2,0,0,173,20,18,21,43,CGY,34,0,0,28,6,NHL,2,0,17:23,0,81,0,77,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-17'}, {'link': '/awards/voting-2007.html#byng', 'name': 'Byng-7'}, {'link': '/awards/voting-2007.html#selke', 'name': 'Selke-33'}]",14
12.4,3,2007-08,40,22,1433,0,58,318,202,19,19,10,41,CGY,25,53,25.0,29,5,NHL,0,11,17:42,9,81,1,66,"[{'link': '/awards/voting-2008.html#byng', 'name': 'Byng-45'}]",6
9.9,32,2008-09,44,26,1444,0,35,349,212,9,16,1,35,CBJ,21,49,28.9,30,2,NHL,0,16,19:31,21,74,13,56,[],5
14.2,10,2009-10,36,25,1361,0,30,291,162,15,14,-4,40,CBJ,23,44,28.6,31,5,NHL,1,16,18:24,15,74,4,63,[],8
14.9,0,2010-11,10,7,639,0,11,176,94,2,8,-17,9,CBJ,14,19,0,32,1,NHL,0,4,16:23,4,39,0,23,[],6
0.0,0,2011-12,2,0,32,0,0,6,2,0,0,-2,0,CBJ,0,1,0,33,0,NHL,0,0,16:12,0,2,0,0,[],0
