even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,OTS,0,0,18,0,,NHL,0,0,,1929-30,2,0,,0,0,0
0,3,DET,3,2,24,0,,NHL,0,0,,1935-36,7,0,SC,0,6,0
0,5,DET,2,0,25,0,,NHL,0,0,,1936-37,0,0,SC,0,7,0
0,1,DET,3,4,27,0,,NHL,0,0,,1938-39,6,0,,0,4,0
0,2,DET,2,2,28,0,,NHL,0,0,,1939-40,5,0,,0,4,0
0,0,DET,1,0,29,0,,NHL,0,0,,1940-41,9,0,,0,8,0
0,5,DET,3,0,30,0,,NHL,0,0,,1941-42,12,0,,0,8,0
0,2,DET,1,0,31,0,,NHL,0,0,,1942-43,7,0,SC,0,3,0
0,2,DET,2,0,32,0,,NHL,0,0,,1943-44,5,0,,0,4,0
0,0,DET,0,2,33,0,,NHL,0,0,,1944-45,7,0,,0,0,0
