even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
1,1,LAK,1,9,20,0,,NHL,0,5,,1979-80,4,20.0,,0,2,-3
0,2,LAK,1,4,21,0,,NHL,0,12,,1980-81,4,8.3,,1,3,-2
1,2,LAK,1,9,22,0,,NHL,0,11,,1981-82,10,9.1,,0,3,-6
0,1,LAK,0,2,25,0,,NHL,0,7,,1984-85,3,0.0,,0,1,-2
1,2,LAK,1,10,27,0,,NHL,0,4,,1986-87,5,25.0,,0,3,3
0,1,NYR,0,31,29,0,,NHL,0,7,,1988-89,4,0.0,,0,1,-3
0,1,NYR,0,2,30,0,,NHL,0,1,,1989-90,3,0.0,,0,1,-1
0,1,NYR,0,30,31,0,,NHL,0,7,,1990-91,6,0.0,,0,1,-2
0,3,NYR,0,31,32,0,,NHL,0,9,,1991-92,13,0.0,,0,3,0
1,2,LAK,1,30,33,0,,NHL,0,11,,1992-93,15,9.1,,0,3,7
