assists,team,goals,year,games_played,points,pim,age,plus_minus,league
1,Kitchener Rangers,4,1981-82,14,5,16,18,0,OHL
1,Kitchener Rangers,1,1981-82,5,2,11,18,0,M-Cup
4,Kitchener Rangers,5,1982-83,12,9,30,19,0,OHL
0,Fredericton Express,0,1983-84,1,0,7,20,0,AHL
1,Fredericton Express,1,1984-85,6,2,2,21,0,AHL
3,Fredericton Express,0,1985-86,6,3,8,22,0,AHL
8,Fredericton Express,4,1987-88,15,12,55,24,0,AHL
