giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,5,0,22,0,0,5,1,0,0,60,VAN,0,0,[],20.0,0,0,-1,1,0,0,1998-99,0,11:58,1,4,0,0
0,NHL,18,1,23,0,0,11,6,0,0,189,VAN,0,0,[],18.2,2,4,9,2,0,0,1999-00,0,10:31,0,12,0,4
0,NHL,52,1,24,0,0,57,14,0,3,833,VAN,0,0,[],7.0,4,10,4,4,0,0,2000-01,0,16:01,0,10,0,7
0,NHL,66,3,25,0,0,116,25,0,7,1255,VAN,0,0,[],6.9,7,17,21,8,0,0,2001-02,0,19:01,1,44,0,10
0,NHL,81,1,26,0,0,167,37,0,16,1758,VAN,0,0,[],4.2,1,30,-15,7,0,0,2002-03,0,21:42,6,23,0,14
0,NHL,80,2,27,0,0,173,42,0,12,1754,VAN,0,0,[],5.8,4,32,11,10,0,0,2003-04,0,21:56,6,36,1,19
0,NHL,68,0,29,0,0,133,28,0,13,1586,TOT,0,0,[],1.5,0,26,-13,2,0,0,2005-06,0,23:20,2,70,0,13
0,NHL,57,0,29,0,0,121,27,0,13,1344,NYI,0,0,[],1.7,0,25,-9,2,0,0,2005-06,0,23:35,2,64,0,12
0,NHL,11,0,29,0,0,12,1,0,0,242,LAK,0,0,[],0.0,0,1,-4,0,0,0,2005-06,0,22:02,0,6,0,1
0,NHL,64,2,30,0,0,131,28,0,6,1297,TOT,0,0,[],3.8,3,23,2,5,0,0,2006-07,0,20:16,2,24,1,16
0,NHL,44,2,30,0,0,104,23,0,5,929,LAK,0,0,[],3.8,2,19,2,4,0,0,2006-07,0,21:06,2,14,1,13
0,NHL,20,0,30,0,0,27,5,0,1,368,VAN,0,0,[],3.7,1,4,0,1,0,0,2006-07,0,18:25,0,10,0,3
31,NHL,58,0,31,0,110,56,20,35,1,1178,CHI,13,0,[],1.8,1,19,9,1,0,0,2007-08,122,20:18,0,28,4,14
7,NHL,23,1,32,0,32,15,2,14,0,318,CHI,7,0,[],6.7,1,1,-4,1,0,0,2008-09,45,13:49,0,8,0,1
41,NHL,73,0,33,0,105,48,8,50,0,1085,CHI,16,0,[],2.1,1,7,3,1,0,0,2009-10,120,14:52,0,34,0,7
39,NHL,71,0,34,0,101,44,7,35,1,1160,TOT,25,0,[],4.5,2,5,6,2,0,0,2010-11,150,16:21,0,16,0,4
28,NHL,59,0,34,0,89,40,7,29,1,970,ATL,21,0,[],5.0,2,5,7,2,0,0,2010-11,128,16:26,0,16,0,4
11,NHL,12,0,34,0,12,4,0,6,0,191,MTL,4,0,[],0.0,0,0,-1,0,0,0,2010-11,22,15:54,0,0,0,0
