game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,8.3,-2,12,1,20,,3,1,1977-78,2,0,1,0,NYR,,2,,NHL
0,14.7,8,34,0,21,,0,4,1978-79,9,0,5,4,NYR,,11,,NHL
0,20.8,-3,24,2,22,,9,2,1979-80,7,0,5,3,NYR,,11,,NHL
1,20.5,6,39,0,23,,14,9,1980-81,17,1,8,7,NYR,,16,,NHL
0,21.7,-3,23,1,24,,10,1,1981-82,6,0,5,4,NYR,,31,,NHL
0,18.2,-1,11,0,25,,9,2,1982-83,4,0,2,2,NYR,,28,,NHL
0,12.5,1,16,1,26,,4,3,1983-84,5,0,2,1,DET,,2,,NHL
0,9.1,-4,11,1,27,,3,0,1984-85,1,0,1,0,DET,,7,,NHL
0,20.0,1,10,1,29,,6,0,1986-87,2,0,2,1,NYR,,4,,NHL
0,0,-1,0,0,30,,2,0,1987-88,0,0,0,0,LAK,,0,,NHL
0,0.0,-2,12,0,31,,11,0,1988-89,0,0,0,0,LAK,,6,,NHL
