assists,team,goals,year,games_played,points,pim,age,plus_minus,league
5,Medicine Hat Tigers,7,1974-75,39,12,6,18,0,WCJHL
24,Medicine Hat Tigers,22,1975-76,70,46,98,19,0,WCJHL
51,Medicine Hat Tigers,53,1976-77,72,104,101,20,0,WCJHL
26,Tulsa Oilers,13,1977-78,75,39,46,21,0,CHL
27,Tulsa Oilers,26,1978-79,74,53,58,22,0,CHL
19,Springfield Indians,15,1979-80,45,34,12,23,0,AHL
24,EV Fussen,27,1980-81,43,51,59,24,0,W.Ger-2
22,VEU Feldkirch,20,1981-82,28,42,0,25,0,Austria
37,VEU Feldkirch,35,1982-83,28,72,0,26,0,Austria
31,VEU Feldkirch,36,1984-85,37,67,40,28,0,Austria
30,VEU Feldkirch,35,1985-86,40,65,35,29,0,Austria
1,Austria,3,1985-86,7,4,2,29,0,WEC-B
30,VEU Feldkirch,22,1986-87,38,52,38,30,0,Austria
0,Austria,1,1986-87,5,1,2,30,0,WEC-B
18,EHC Lustenau,3,1987-88,17,21,30,31,0,Austria
