even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,TOR,1,2,19,0,,NHL,0,0,,1928-29,4,0,,0,1,0
0,0,TOR,0,4,21,0,,NHL,0,0,,1930-31,2,0,,0,0,0
0,2,TOR,2,20,22,0,,NHL,0,0,,1931-32,0,0,SC,0,4,0
0,0,TOR,1,10,23,0,,NHL,0,0,,1932-33,0,0,,0,1,0
0,0,TOR,1,6,24,0,,NHL,0,0,,1933-34,5,0,,0,1,0
0,1,TOR,0,4,25,0,,NHL,0,0,,1934-35,0,0,,0,1,0
0,2,TOR,1,0,26,0,,NHL,0,0,,1935-36,0,0,,0,3,0
0,0,TOR,0,7,27,0,,NHL,0,0,,1936-37,2,0,,0,0,0
0,1,TOR,0,14,28,0,,NHL,0,0,,1937-38,7,0,,0,1,0
0,2,TOR,1,26,29,0,,NHL,0,0,,1938-39,10,0,,0,3,0
0,2,TOR,0,0,30,0,,NHL,0,0,,1939-40,9,0,,0,2,0
