even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,WSH,0,0,18,0,,NHL,0,1,,1984-85,1,0.0,,0,0,1
1,1,WSH,1,19,19,0,,NHL,0,11,,1985-86,9,9.1,,0,2,5
1,0,WSH,1,20,20,0,,NHL,0,21,,1986-87,7,4.8,,0,1,-2
4,7,WSH,5,55,21,1,,NHL,0,44,,1987-88,14,11.4,,1,12,6
0,4,WSH,1,20,22,0,,NHL,0,19,,1988-89,6,5.3,,1,5,-3
0,8,WSH,0,32,23,0,,NHL,0,37,,1989-90,11,0.0,,0,8,4
1,3,WSH,3,8,24,0,,NHL,0,54,,1990-91,11,5.6,,2,6,-3
1,4,WSH,2,19,25,0,,NHL,1,18,,1991-92,7,11.1,,0,6,4
0,1,WSH,0,14,26,0,,NHL,0,18,,1992-93,6,0.0,,0,1,-5
2,4,WSH,3,37,27,0,,NHL,1,40,,1993-94,11,7.5,,0,7,-2
1,1,DAL,2,2,28,1,,NHL,0,18,,1994-95,5,11.1,,1,3,-4
0,1,PIT,1,4,30,0,,NHL,0,12,,1996-97,5,8.3,,1,2,-5
0,0,PIT,1,12,31,0,,NHL,0,15,,1997-98,6,6.7,,1,1,1
1,3,PIT,2,4,32,0,317,NHL,0,22,24:22,1998-99,13,9.1,,1,5,1
0,0,CAR,0,6,34,0,116,NHL,0,6,19:15,2000-01,6,0.0,,0,0,-6
