average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,19,0,0,NHL,23,0,12,0,0,0,0,0,0,1939-40,CBH,12,7,[],0,,39
,28,0,0,NHL,24,0,12,0,0,0,0,0,0,1940-41,CBH,8,20,[],0,,47
,26,0,0,NHL,25,0,11,0,0,0,0,0,0,1941-42,CBH,12,14,[],0,,38
,0,0,0,NHL,26,0,18,0,0,0,0,0,0,1942-43,CBH,0,40,"[{'link': '/awards/nhl_all_star.html#1943', 'name': None}, {'link': '/awards/voting-1943.html#hart', 'name': 'Hart-2'}]",0,,0
,77,0,0,NHL,27,0,22,0,0,0,0,0,0,1943-44,CBH,0,39,"[{'link': '/awards/nhl_all_star.html#1944', 'name': None}, {'link': '/awards/voting-1944.html#hart', 'name': 'Hart-3'}]",0,,50
,40,0,0,NHL,29,0,16,0,0,0,0,0,0,1945-46,CBH,19,21,[],0,,36
,55,0,0,NHL,30,0,18,0,0,0,0,0,0,1946-47,CBH,21,34,"[{'link': '/awards/nhl_all_star.html#1947', 'name': None}]",0,,52
,57,0,0,NHL,31,0,16,0,0,0,0,0,0,1947-48,CBH,20,0,[],0,,60
,66,0,0,NHL,32,0,38,0,0,0,0,0,0,1948-49,CBH,23,0,"[{'link': '/awards/nhl_all_star.html#1949', 'name': None}, {'link': '/awards/voting-1949.html#hart', 'name': 'Hart-4'}]",0,,58
,53,0,0,NHL,33,0,28,0,0,0,0,0,0,1949-50,CBH,20,33,[],0,,64
,32,0,0,NHL,34,0,20,0,0,0,0,0,0,1950-51,CBH,9,23,[],0,,44
,5,0,0,NHL,35,0,4,0,0,0,0,0,0,1951-52,CBH,2,3,[],0,,8
,12,0,0,NHL,37,0,2,0,0,0,0,0,0,1953-54,NYR,2,10,[],0,,20
