age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
22,,0,0,0,-1,NHL,1,0,1979-80,0,0,0,,0,0,,STL,0
24,,20.0,6,11,7,NHL,10,0,1981-82,0,35,7,,1,4,,STL,18
26,,9.5,2,0,0,NHL,6,0,1983-84,0,21,2,,0,0,,STL,2
27,,0.0,0,0,1,NHL,3,0,1984-85,0,10,0,,0,0,,STL,0
28,,22.6,0,7,-3,NHL,21,0,1985-86,2,53,0,,4,4,,CGY,19
29,,16.7,1,1,-4,NHL,6,0,1986-87,1,12,2,,1,0,,CGY,3
30,,9.5,2,4,0,NHL,7,0,1987-88,0,21,2,,0,10,,CGY,6
31,SC,17.6,0,8,8,NHL,21,0,1988-89,1,0,0,,6,4,,CGY,24
32,,25.0,2,0,-4,NHL,6,1,1989-90,0,12,3,,0,0,,CGY,3
33,SC,18.2,7,9,0,NHL,22,0,1990-91,1,44,8,,1,4,,PIT,17
34,SC,14.3,2,1,-4,NHL,9,0,1991-92,0,21,3,,1,4,,PIT,4
35,,12.5,3,2,4,NHL,12,1,1992-93,1,32,4,,0,6,,PIT,6
36,,16.7,1,0,-1,NHL,6,0,1993-94,0,6,1,,0,2,,PIT,1
37,,0.0,0,3,-5,NHL,12,0,1994-95,0,12,0,,0,4,,PIT,3
39,,0,0,0,0,NHL,1,0,1996-97,0,0,0,,0,0,,PIT,0
