assists,year,games_played,points,goals,team,age,pim,plus_minus,league
1,1939-40,3,3,2,Guelph Indians,17,0,0,OHA-Jr.
0,1939-40,3,0,0,Atlantic City Sea Gulls,17,14,0,EAHL
2,1940-41,6,2,0,Atlantic City Sea Gulls,18,6,0,EAHL
1,1941-42,2,3,2,Atlantic City Sea Gulls,19,2,0,EAHL
5,1942-43,7,5,0,Toronto People\'s Credit,20,20,0,TIHL
3,1943-44,4,3,0,Toronto Army Shamrocks,21,6,0,TIHL
0,1944-45,2,0,0,Toronto Army Shamrocks,22,10,0,TIHL
2,1945-46,12,3,1,Kansas City Pla-Mors,23,34,0,USHL
3,1946-47,11,7,4,Kansas City Pla-Mors,24,12,0,USHL
0,1947-48,2,0,0,Tulsa Oilers,25,19,0,USHL
0,1950-51,4,0,0,Buffalo Bisons,28,12,0,AHL
0,1951-52,2,0,0,Buffalo Bisons,29,5,0,AHL
6,1952-53,9,8,2,Vancouver Canucks,30,18,0,WHL
2,1953-54,12,5,3,Vancouver Canucks,31,45,0,WHL
1,1954-55,5,1,0,Vancouver Canucks,32,27,0,WHL
