goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,won,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
83,6.10,1,2011-12,30,,922,0,2,11,429,459,0,WSH,0,0,14,1.95,22,NHL,.935,.786,14,0,7,7
101,-0.17,1,2012-13,16,,433,0,2,4,189,205,0,WSH,1,0,7,2.22,23,NHL,.922,.571,7,0,3,4
71,9.41,0,2014-15,23,,806,0,0,10,389,412,1,WSH,1,0,13,0,25,NHL,0,.769,13,1,6,7
70,9.06,0,2015-16,21,,732,0,0,9,342,363,1,WSH,2,0,12,1.72,26,NHL,.942,.750,12,1,6,6
114,-4.04,2,2016-17,33,,803,0,2,7,331,364,0,WSH,0,0,13,2.47,27,NHL,.909,.538,13,0,7,6
