goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,2005-06,4,59,0,0,0,49,53,0,Saskatoon Blades,0,0,0,4.07,16,WHL,.925,0,1,0,0,1
0,0,0,2006-07,146,2725,3,20,0,1248,1394,0,Saskatoon Blades,0,0,0,3.21,17,WHL,.895,0,51,0,17,29
0,0,0,2006-07,2,9,0,0,0,0,0,0,Canada,0,0,0,13.33,17,WJ18-A,0,0,1,0,0,0
0,0,0,2007-08,172,3632,8,15,0,1703,1875,4,Saskatoon Blades,1,0,0,2.84,18,WHL,.908,0,64,4,25,29
0,0,0,2008-09,156,3571,4,6,0,1576,1732,3,Saskatoon Blades,6,0,0,2.62,19,WHL,.910,0,61,3,40,16
0,0,0,2009-10,83,2146,2,12,0,917,1000,0,Hershey Bears,2,0,0,2.32,20,AHL,.917,0,37,0,25,8
0,0,0,2009-10,35,712,3,2,0,357,392,1,South Carolina Stingrays,0,0,0,2.95,20,ECHL,.911,0,12,1,7,2
0,0,0,2010-11,68,1785,2,12,0,777,845,1,Hershey Bears,5,0,0,2.29,21,AHL,.920,0,30,1,17,10
0,0,0,2011-12,101,2322,2,24,0,975,1076,2,Hershey Bears,3,0,0,2.61,22,AHL,.906,0,40,2,20,15
0,0,0,2012-13,52,1458,1,0,0,712,764,0,Hershey Bears,4,0,0,2.14,23,AHL,.932,0,25,0,12,12
0,0,0,2016-17,0,0,0,0,0,0,0,0,Canada,0,0,0,0,27,WCup,0,0,0,0,0,0
