assists,year,games_played,points,goals,team,age,pim,plus_minus,league
15,1969-70,45,32,17,Ottawa 67\'s,16,10,0,OHA-Jr.
46,1970-71,62,90,44,Ottawa 67\'s,17,39,0,OHA-Jr.
52,1971-72,62,84,32,Ottawa 67\'s,18,41,0,OHA-Jr.
99,1972-73,62,159,60,Ottawa 67\'s,19,50,0,OHA-Jr.
41,1973-74,59,78,37,New Haven Nighthawks,20,25,0,AHL
10,1975-76,10,12,2,New Haven Nighthawks,22,8,0,AHL
60,1976-77,76,93,33,New Haven Nighthawks,23,16,0,AHL
2,1977-78,6,6,4,Fort Worth Texans,24,11,0,CHL
53,1977-78,62,82,29,Maine Mariners,24,24,0,AHL
5,1978-79,12,14,9,Maine Mariners,25,6,0,AHL
