points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/mclelto01c.html', 'name': 'T. McLellan'}]",NHL,EDM,2017-18,0,0,0,Edmonton Oilers,0,,0,0,
103,"[{'link': '/coaches/mclelto01c.html', 'name': 'T. McLellan'}]",NHL,EDM,2016-17,47,26,9,Edmonton Oilers,.628,Lost NHL Second Round,0,82,2nd
70,"[{'link': '/coaches/mclelto01c.html', 'name': 'T. McLellan'}]",NHL,EDM,2015-16,31,43,8,Edmonton Oilers,.427,,0,82,7th
62,"[{'link': '/coaches/eakinda01c.html', 'name': 'D. Eakins'}, {'link': '/coaches/nelsoto01c.html', 'name': 'T. Nelson'}]",NHL,EDM,2014-15,24,44,14,Edmonton Oilers,.378,,0,82,6th
67,"[{'link': '/coaches/eakinda01c.html', 'name': 'D. Eakins'}]",NHL,EDM,2013-14,29,44,9,Edmonton Oilers,.409,,0,82,7th
45,"[{'link': '/coaches/kruegra99c.html', 'name': 'R. Krueger'}]",NHL,EDM,2012-13,19,22,7,Edmonton Oilers,.469,,0,48,3rd
74,"[{'link': '/coaches/renneto99c.html', 'name': 'T. Renney'}]",NHL,EDM,2011-12,32,40,10,Edmonton Oilers,.451,,0,82,5th
62,"[{'link': '/coaches/renneto99c.html', 'name': 'T. Renney'}]",NHL,EDM,2010-11,25,45,12,Edmonton Oilers,.378,,0,82,5th
62,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,EDM,2009-10,27,47,8,Edmonton Oilers,.378,,0,82,5th
85,"[{'link': '/coaches/mactacr01c.html', 'name': 'C. MacTavish'}]",NHL,EDM,2008-09,38,35,9,Edmonton Oilers,.518,,0,82,4th
88,"[{'link': '/coaches/mactacr01c.html', 'name': 'C. MacTavish'}]",NHL,EDM,2007-08,41,35,6,Edmonton Oilers,.537,,0,82,4th
71,"[{'link': '/coaches/mactacr01c.html', 'name': 'C. MacTavish'}]",NHL,EDM,2006-07,32,43,7,Edmonton Oilers,.433,,0,82,5th
95,"[{'link': '/coaches/mactacr01c.html', 'name': 'C. MacTavish'}]",NHL,EDM,2005-06,41,28,13,Edmonton Oilers,.579,Lost Stanley Cup Final,0,82,3rd
89,"[{'link': '/coaches/mactacr01c.html', 'name': 'C. MacTavish'}]",NHL,EDM,2003-04,36,29,5,Edmonton Oilers,.543,,12,82,4th
92,"[{'link': '/coaches/mactacr01c.html', 'name': 'C. MacTavish'}]",NHL,EDM,2002-03,36,26,9,Edmonton Oilers,.561,Lost NHL Conference Quarter-Finals,11,82,4th
92,"[{'link': '/coaches/mactacr01c.html', 'name': 'C. MacTavish'}]",NHL,EDM,2001-02,38,28,4,Edmonton Oilers,.561,,12,82,3rd
