assists,year,games_played,points,goals,team,age,pim,plus_minus,league
11,1985-86,24,15,4,Belleville Bulls,18,15,0,OHL
4,1986-87,9,8,4,Hamilton Steelhawks,19,2,0,OHL
16,1987-88,14,24,8,Hamilton Steelhawks,20,12,0,OHL
26,1988-89,17,37,11,Niagara Falls Thunder,21,18,0,OHL
2,1990-91,3,5,3,Knoxville Cherokees,23,4,0,ECHL
4,1991-92,5,6,2,New Haven Nighthawks,24,4,0,AHL
3,1992-93,3,5,2,Atlanta Knights,25,4,0,IHL
12,1993-94,14,25,13,Atlanta Knights,26,8,0,IHL
5,1994-95,5,6,1,Atlanta Knights,27,2,0,IHL
2,1995-96,3,2,0,Atlanta Knights,28,18,0,IHL
21,1996-97,21,26,5,Detroit Vipers,29,14,0,IHL
4,1997-98,15,6,2,Detroit Vipers,30,16,0,IHL
4,1998-99,11,9,5,Detroit Vipers,31,10,0,IHL
