assists,year,games_played,points,goals,team,age,pim,plus_minus,league
12,1975-76,70,21,9,Laval National,16,40,0,QMJHL
36,1976-77,63,59,23,Laval National,17,135,0,QMJHL
76,1977-78,69,120,44,Laval National,18,174,0,QMJHL
2,1977-78,6,5,3,Canada,18,2,0,WJC-A
50,1978-79,67,75,25,Montreal Juniors,19,139,0,QMJHL
16,1979-80,65,25,9,Tulsa Oilers,20,141,0,CHL
22,1980-81,68,40,18,Tulsa Oilers,21,189,0,CHL
13,1981-82,71,27,14,Fredericton Express,22,120,0,AHL
25,1983-84,40,53,28,ASG Tours,24,0,0,France
15,1984-85,32,42,27,ASG Tours,25,0,0,France
15,1985-86,30,32,17,Paris Francais Volants,26,0,0,France-2
3,1985-86,7,7,4,France,26,4,0,WC-B
36,1986-87,40,63,27,Paris Francais Volants,27,0,0,France
3,1986-87,6,4,1,France,27,8,0,WC-B
8,1987-88,30,18,10,HC Gap,28,34,0,France
22,1988-89,35,32,10,HC Rouen,29,62,0,France
13,1989-90,26,22,9,HC Rouen,30,32,0,France
4,1990-91,27,10,6,HC Rouen,31,18,0,France
4,1993-94,25,9,5,HC Brest,34,51,0,France
