game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,0,0,8,0,0,4,0,0,2000-01,0,0,1,1,4,NHL,12.5,0,0,0,0,21,0,15:36,[],1,0,0,62,MIN
0,0,-10,154,0,0,76,12,0,2001-02,10,2,15,3,16,NHL,9.7,2,0,0,0,22,0,15:08,[],27,0,10,1150,MIN
4,0,17,183,0,1,80,28,0,2002-03,20,0,20,6,44,NHL,10.9,7,0,0,0,23,0,17:30,"[{'link': '/awards/voting-2003.html#selke', 'name': 'Selke-31'}]",48,0,14,1400,MIN
1,0,5,127,0,1,59,15,0,2003-04,11,0,11,2,20,NHL,8.7,3,0,0,0,24,0,15:48,[],26,0,9,932,MIN
2,0,-10,151,0,1,67,16,0,2005-06,9,0,10,4,40,NHL,6.6,6,0,0,0,26,0,16:30,[],26,0,6,1105,MIN
1,0,-17,156,0,1,71,5,0,2006-07,3,2,14,2,42,NHL,9.0,1,0,0,0,27,0,15:32,[],19,0,10,1103,TOT
0,0,-7,106,0,1,48,3,0,2006-07,2,2,10,2,38,NHL,9.4,0,0,0,0,27,0,15:07,[],13,0,6,726,MIN
0,0,-4,10,0,0,6,0,0,2006-07,0,0,1,0,0,NHL,10.0,0,0,0,0,27,0,15:30,[],1,0,1,93,NYR
1,0,-6,40,0,0,17,2,0,2006-07,1,0,3,0,4,NHL,7.5,1,0,0,0,27,0,16:44,[],5,0,3,284,ATL
1,51,0,143,11,1,78,15,5,2007-08,14,3,12,0,32,NHL,8.4,0,84,31.3,32,28,238,15:12,[],27,20,9,1185,TOT
1,44,-4,111,8,0,62,5,5,2007-08,5,3,10,0,24,NHL,9.0,0,49,38.5,29,28,185,14:46,[],15,15,7,916,ATL
0,7,4,32,3,1,16,10,0,2007-08,9,0,2,0,8,NHL,6.3,0,35,0.0,3,28,53,16:50,[],12,5,2,269,PIT
2,25,1,145,13,1,71,16,3,2008-09,15,0,12,0,30,NHL,8.3,0,68,18.8,30,29,237,14:13,[],28,15,12,1010,PIT
5,26,5,157,20,0,81,20,13,2009-10,20,0,18,0,16,NHL,11.5,0,85,39.4,48,30,265,14:11,"[{'link': '/awards/voting-2010.html#byng', 'name': 'Byng-42'}]",38,20,18,1149,PIT
3,33,16,171,22,1,81,20,6,2010-11,19,4,17,0,59,NHL,9.9,0,117,21.4,55,31,286,16:52,"[{'link': '/awards/voting-2011.html#selke', 'name': 'Selke-17'}]",37,14,13,1366,PIT
8,25,18,214,64,0,82,34,51,2011-12,33,3,25,0,34,NHL,11.7,1,111,44.3,44,32,380,16:56,"[{'link': '/awards/voting-2012.html#byng', 'name': 'Byng-31'}, {'link': '/awards/voting-2012.html#selke', 'name': 'Selke-13'}]",59,18,22,1388,PIT
2,29,0,140,30,0,0,18,27,2012-13,17,1,20,2,26,NHL,14.3,1,83,47.4,36,33,258,17:30,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2013.html#AS', 'name': 'AS-14'}, {'link': '/awards/voting-2013.html#byng', 'name': 'Byng-46'}, {'link': '/awards/voting-2013.html#hart', 'name': 'Hart-23'}, {'link': '/awards/voting-2013.html#selke', 'name': 'Selke-7'}]",38,13,17,840,PIT
0,12,6,97,4,0,39,13,2,2013-14,13,0,7,0,8,NHL,7.2,0,68,33.3,29,34,161,17:42,[],20,11,7,690,PIT
1,6,2,44,0,1,16,5,1,2014-15,3,0,6,2,4,NHL,13.6,1,20,100.0,8,35,65,16:39,[],11,5,4,266,PIT
0,2,-1,28,1,0,18,2,2,2015-16,2,0,2,0,12,NHL,7.1,0,35,66.7,12,36,52,15:06,[],4,4,2,272,PIT
