assists,year,games_played,points,goals,team,age,pim,plus_minus,league
2,1968-69,6,3,1,London Knights,19,20,0,OHA-Jr.
5,1969-70,9,6,1,Johnstown Jets,20,0,0,EHL
3,1970-71,10,8,5,Johnstown Jets,21,30,0,EHL
8,1971-72,11,13,5,Johnstown Jets,22,8,0,EHL
0,1972-73,8,0,0,Nova Scotia Voyageurs,23,2,0,AHL
2,1973-74,6,2,0,Nova Scotia Voyageurs,24,17,0,AHL
2,1974-75,6,3,1,Nova Scotia Voyageurs,25,14,0,AHL
3,1975-76,4,3,0,Oklahoma City Blazers,26,0,0,CHL
1,1977-78,12,4,3,Maine Mariners,28,11,0,AHL
3,1979-80,9,3,0,Maine Mariners,30,0,0,AHL
3,1980-81,7,4,1,Springfield Indians,31,24,0,AHL
