shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
7.5,0,2001-02,8,17,1079,0,0,0,134,1,9,-6,18,FLA,10,0,0,22,2,NHL,1,0,13:50,0,78,0,28,[],0
6.1,0,2002-03,20,14,1081,0,0,0,132,1,6,-8,15,FLA,8,0,0,23,0,NHL,0,0,13:31,0,80,0,23,[],2
8.2,0,2003-04,22,12,1109,0,0,0,122,1,9,-5,13,FLA,10,0,0,24,2,NHL,1,0,14:47,0,75,0,23,[],0
6.3,0,2005-06,18,10,1029,2,0,0,126,1,7,-10,13,TOT,8,0,0,26,0,NHL,1,0,12:15,0,0,0,21,[],0
3.8,0,2005-06,2,4,420,0,0,0,52,0,2,-8,4,FLA,2,0,0,26,0,NHL,0,0,14:00,0,30,0,6,[],0
8.1,0,2005-06,16,6,609,2,0,0,74,1,5,-2,9,DAL,6,0,0,26,0,NHL,1,0,11:17,0,54,0,15,[],0
11.2,0,2006-07,34,9,1183,0,0,0,152,3,14,3,12,DAL,17,0,0,27,2,NHL,1,0,14:26,0,82,0,29,[],2
15.2,17,2007-08,51,10,1279,1,52,287,178,3,19,4,14,DAL,27,40,10.5,28,8,NHL,4,13,15:36,40,82,2,41,"[{'link': '/awards/voting-2008.html#selke', 'name': 'Selke-26'}]",4
13.1,1,2008-09,4,13,1110,0,34,289,168,7,16,-5,20,TOR,22,31,0.0,29,3,NHL,0,24,17:05,22,65,0,42,"[{'link': '/awards/voting-2009.html#byng', 'name': 'Byng-35'}]",6
11.6,26,2009-10,25,15,1322,0,22,363,216,4,21,-4,19,TOT,25,28,29.7,30,2,NHL,0,29,16:07,34,82,11,44,[],4
13.5,21,2009-10,23,11,888,0,16,262,148,2,16,-3,13,TOR,20,14,32.3,30,1,NHL,0,20,16:09,26,55,10,33,[],4
7.4,5,2009-10,2,4,434,0,6,101,68,2,5,-1,6,CGY,5,14,16.7,30,1,NHL,0,9,16:05,8,27,1,11,[],0
7.9,22,2010-11,24,13,968,0,25,255,140,3,7,-2,16,CGY,11,12,12.0,31,0,NHL,0,12,13:38,35,71,3,27,[],4
7.2,12,2011-12,14,14,1035,0,17,236,125,0,7,-7,14,TOT,9,20,40.0,32,2,NHL,0,29,14:35,49,71,8,23,[],2
7.1,2,2011-12,2,3,113,0,5,28,14,0,0,3,3,CGY,1,2,33.3,32,1,NHL,0,2,14:11,3,8,1,4,[],1
7.2,10,2011-12,12,11,922,0,12,208,111,0,7,-10,11,ANA,8,18,41.2,32,1,NHL,0,27,14:38,46,63,7,19,[],1
