pim,team,assists,plus_minus,points,league,games_played,year,age,goals
120,Fernie Ghostriders,45,0,90,RMJHL,47,1991-92,16,45
55,Saskatoon Blades,33,0,62,WHL,71,1992-93,17,29
99,Saskatoon Blades,39,0,67,WHL,65,1993-94,18,28
63,Saskatoon Blades,39,0,89,WHL,70,1994-95,19,50
116,Saskatoon Blades,69,0,152,WHL,72,1995-96,20,83
0,Baltimore Bandits,4,0,5,AHL,9,1995-96,20,1
4,Baltimore Bandits,13,0,24,AHL,21,1996-97,21,11
39,Cincinnati Mighty Ducks,8,-15,15,AHL,35,1997-98,22,7
20,Cincinnati Mighty Ducks,27,-12,49,AHL,66,1998-99,23,22
58,Cincinnati Mighty Ducks,22,-3,41,AHL,72,1999-00,24,19
70,Blues Espoo,27,0,51,Finland,56,2000-01,25,24
38,Jokerit Helsinki,16,0,38,Finland,52,2001-02,26,22
12,Jokerit Helsinki,4,0,7,Finland,17,2002-03,27,3
36,Springfield Falcons,17,1,40,AHL,62,2002-03,27,23
18,Springfield Falcons,8,-14,14,AHL,39,2003-04,28,6
8,Dynamo Moscow,1,0,2,Russia,6,2003-04,28,1
70,SaiPa Lappeenranta,25,0,49,Finland,56,2004-05,29,24
8,HC Fribourg-Gotteron,0,0,1,Swiss,6,2005-06,30,1
40,EC Red Bull Salzburg,25,0,49,Austria,45,2005-06,30,24
50,EC Red Bull Salzburg,15,0,35,Austria,40,2006-07,31,20
22,EC Red Bull Salzburg,14,0,24,Austria,31,2007-08,32,10
6,IF Malmo Redhawks,3,0,7,Sweden-2,8,2007-08,32,4
100,Olimpija Ljubljana,29,0,59,Austria,52,2008-09,33,30
0,EHC Biel-Bienne,3,0,5,Swiss,6,2008-09,33,2
34,Olimpija Ljubljana,32,0,62,Austria,42,2009-10,34,30
0,Lausanne HC,3,0,5,Swiss-2,5,2009-10,34,2
46,Medvescak Zagreb,28,0,47,Austria,51,2010-11,35,19
34,Medvescak Zagreb,23,0,42,Austria,47,2011-12,36,19
