goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,2.4,0,0,1972-73,[],55,967,2,0,0,0,0,1,PIT,2,0,0,3.41,20,NHL,0,0,18,1,6,7
0,0.3,0,0,1973-74,[],18,260,0,0,0,0,0,0,PIT,0,0,0,4.15,21,NHL,0,0,5,0,1,3
0,2.7,0,0,1974-75,[],91,1388,4,2,0,0,0,1,TOT,0,0,0,3.93,22,NHL,0,0,25,1,5,14
0,-0.1,0,0,1974-75,[],11,108,0,0,0,0,0,0,PIT,0,0,0,6.11,22,NHL,0,0,3,0,1,1
0,2.8,0,0,1974-75,[],80,1280,4,2,0,0,0,1,KCS,0,0,0,3.75,22,NHL,0,0,22,1,4,13
0,6.6,0,0,1975-76,[],0,3620,11,16,0,0,0,0,KCS,0,0,0,4.03,23,NHL,0,0,64,0,11,0
0,6.2,0,0,1976-77,[],94,1920,5,4,0,0,0,1,PIT,1,0,0,2.94,24,NHL,0,0,34,1,15,11
0,8.1,0,0,1977-78,[],210,3534,15,6,0,0,0,1,PIT,0,0,0,3.57,25,NHL,0,0,60,1,20,25
0,9.1,0,0,1978-79,"[{'link': '/awards/voting-1979.html#AS', 'name': 'AS-10'}, {'link': '/awards/voting-1979.html#hart', 'name': 'Hart-7'}]",180,3208,0,18,0,0,0,2,PIT,0,0,0,3.37,26,NHL,0,0,56,2,22,19
0,7.6,0,0,1979-80,"[{'link': '/awards/voting-1980.html#AS', 'name': 'AS-5'}]",80,1909,3,0,0,0,0,0,MTL,0,0,0,2.51,27,NHL,0,0,34,0,25,3
0,3.5,0,0,1980-81,"[{'link': '/awards/vezina.html#1981', 'name': None}]",67,1147,6,0,0,0,0,2,MTL,1,0,0,3.50,28,NHL,0,0,25,2,6,9
0,6.6,0,0,1981-82,"[{'link': '/awards/voting-1982.html#AS', 'name': 'AS-9'}, {'link': '/awards/jennings.html#1982', 'name': None}]",68,1547,8,4,0,0,0,0,MTL,0,0,0,0,29,NHL,0,0,27,0,12,6
0,1.5,0,0,1982-83,[],151,1707,5,14,0,0,0,1,PIT,1,0,0,5.31,30,NHL,0,0,31,1,5,18
91,7.4,13.82,0,1983-84,[],138,2028,2,21,0,1062,1200,0,PIT,1,0,0,4.08,31,NHL,.885,0,38,0,8,24
100,7.4,0.83,0,1984-85,[],170,2193,3,4,0,1192,1362,0,PIT,1,0,0,4.65,32,NHL,.875,0,42,0,10,22
0,0.3,0,0,1985-86,[],14,180,0,0,0,78,92,0,PIT,0,0,0,4.67,33,NHL,.848,0,3,0,0,3
