goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,2013-14,0,0,0,0,0,0,0,0,Adirondack Phantoms,0,0,0,0,25,AHL,0,0,0,0,0,0
0,0,0,2014-15,0,0,0,0,0,0,0,0,Toronto Marlies,0,0,0,0,26,AHL,0,0,0,0,0,0
0,0,0,2014-15,0,0,0,0,0,0,0,0,Medvescak Zagreb,0,0,0,0,26,Spengler Cup,0,0,0,0,0,0
0,0,0,2014-15,0,0,0,0,0,0,0,0,Medvescak Zagreb,0,0,0,0,26,KHL,0,0,0,0,0,0
0,0,0,2014-15,0,0,0,0,0,0,0,0,Evansville Icemen,0,0,0,0,26,ECHL,0,0,0,0,0,0
