age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
18,,0,0,0,-2,NHL,2,0,1988-89,0,0,0,,0,0,,MNS,0
19,,5.9,1,1,-3,NHL,7,0,1989-90,0,17,1,,0,12,,MNS,2
20,,13.6,5,12,-3,NHL,23,0,1990-91,1,59,8,,3,16,,MNS,20
21,,15.8,2,2,-2,NHL,7,0,1991-92,0,19,3,,1,4,,MNS,5
23,,14.6,5,3,-2,NHL,9,0,1993-94,2,48,7,,2,16,,DAL,10
26,,14.8,2,1,2,NHL,7,1,1996-97,2,27,4,,1,0,,DAL,5
27,,8.2,3,10,4,NHL,17,0,1997-98,1,49,4,,1,12,,DAL,14
28,SC,6.0,3,0,6,NHL,0,1,1998-99,1,83,5,567,1,16,,DAL,23
29,,14.9,6,0,3,NHL,0,0,1999-00,2,67,10,585,0,10,,DAL,23
30,,13.0,1,4,1,NHL,9,0,2000-01,0,23,3,231,2,0,,DAL,7
32,,16.7,4,10,2,NHL,12,0,2002-03,2,30,5,287,1,4,,DAL,15
33,,8.3,0,2,-4,NHL,5,0,2003-04,0,12,1,116,1,8,,DAL,3
35,,8.3,0,3,0,NHL,5,0,2005-06,0,12,1,111,1,4,,DAL,4
36,,5.3,0,1,0,NHL,7,0,2006-07,1,19,1,184,1,4,,DAL,2
37,,13.5,0,7,-3,NHL,18,0,2007-08,3,37,5,355,5,22,61,DAL,12
40,,0.0,0,1,1,NHL,2,0,2010-11,0,5,0,20,0,0,9,DET,1
