league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,21,0,21,0,13,0,,MTM,[],0,0,5,0,8,0,1927-28,,0,39,0,0
NHL,36,0,22,0,5,0,,TOT,[],0,0,1,0,4,0,1928-29,,0,52,0,0
NHL,30,0,22,0,5,0,,MTM,[],0,0,1,0,4,0,1928-29,,0,44,0,0
NHL,6,0,22,0,0,0,,OTS,[],0,0,0,0,0,0,1928-29,,0,8,0,0
NHL,0,0,23,0,49,0,,OTS,[],0,0,20,0,29,0,1929-30,,0,0,0,0
NHL,0,0,24,0,25,0,,OTS,[],0,0,14,0,11,0,1930-31,,0,91,0,0
NHL,0,0,25,0,25,0,,NYA,[],0,0,11,0,14,0,1931-32,,0,71,0,0
NHL,42,0,26,0,19,0,,BOS,[],0,0,8,0,11,0,1932-33,,0,68,0,0
NHL,0,0,27,0,25,0,,BOS,[],0,0,15,0,10,0,1933-34,,0,47,0,0
NHL,38,0,28,0,28,0,,TOT,[],0,0,14,0,14,0,1934-35,,0,23,0,0
NHL,7,0,28,0,5,0,,MTL,[],0,0,2,0,3,0,1934-35,,0,4,0,0
NHL,31,0,28,0,23,0,,STE,[],0,0,12,0,11,0,1934-35,,0,19,0,0
NHL,35,0,29,0,3,0,,MTM,[],0,0,3,0,0,0,1935-36,,0,12,0,0
NHL,48,0,30,0,12,0,,NYA,[],0,0,9,0,3,0,1936-37,,0,53,0,0
NHL,39,0,31,0,5,0,,TOT,[],0,0,1,0,4,0,1937-38,,0,26,0,0
NHL,25,0,31,0,1,0,,NYA,[],0,0,0,0,1,0,1937-38,,0,20,0,0
NHL,14,0,31,0,4,0,,DET,[],0,0,1,0,3,0,1937-38,,0,6,0,0
