age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
24,,20.0,1,2,-1,NHL,8,0,1969-70,0,5,1,,0,0,,CBH,3
25,,0,0,0,-2,NHL,9,0,1970-71,0,0,0,,0,17,,CBH,0
27,,0,1,3,0,WHA,8,0,1972-73,0,0,1,,0,19,,CLC,4
28,,0,0,4,0,WHA,5,0,1973-74,0,0,0,,0,31,,CLC,4
29,,0,0,1,0,WHA,5,0,1974-75,0,0,2,,0,15,,CLC,3
31,,0,0,2,-12,WHA,7,0,1976-77,0,0,0,,0,8,,SDM,2
32,,0,0,3,-3,WHA,5,0,1977-78,0,0,1,,0,11,,EDO,4
33,,0,0,5,-3,WHA,13,0,1978-79,0,0,1,,0,23,,EDO,6
34,,9.5,1,1,2,NHL,14,0,1979-80,1,21,2,,1,23,,MNS,3
35,,0.0,0,0,-1,NHL,3,0,1980-81,0,2,0,,0,4,,MNS,0
