power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,4,0,0,NHL,1951-52,21,0,TOR,,0,2,0,0,0,,,0,0
0,5,1,0,NHL,1953-54,23,1,TOR,,0,2,0,0,0,,,0,0
0,4,1,0,NHL,1954-55,24,1,TOR,,0,4,0,0,0,,,0,0
0,5,6,0,NHL,1955-56,25,4,TOR,,2,0,0,0,0,,,0,0
0,0,4,0,NHL,1958-59,28,0,TOR,,4,10,0,0,0,,,0,0
0,0,5,0,NHL,1959-60,29,1,TOR,,4,4,0,0,26,,,3.8,0
0,5,2,0,NHL,1960-61,30,1,TOR,,1,0,1,0,4,,,25.0,0
0,0,12,0,NHL,1961-62,31,7,TOR,,5,2,6,0,37,,SC,18.9,0
0,10,9,0,NHL,1962-63,32,3,TOR,,6,4,0,0,29,,SC,10.3,0
0,0,13,0,NHL,1963-64,33,5,TOR,,8,10,0,0,37,,SC,13.5,0
0,6,1,0,NHL,1964-65,34,1,TOR,,0,4,-1,0,17,,,5.9,0
0,4,1,0,NHL,1965-66,35,0,TOR,,1,4,-1,0,10,,,0.0,0
0,9,3,0,NHL,1966-67,36,2,TOR,,1,6,2,0,13,,SC,15.4,0
0,4,0,0,NHL,1968-69,38,0,TOR,,0,0,-5,0,10,,,0.0,0
0,6,2,0,NHL,1970-71,40,0,TOR,,2,0,-3,0,10,,,0.0,0
