goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,1.5,0,0,1952-53,[],10,360,1,0,0,0,0,0,DET,1,0,0,1.67,21,NHL,0,0,6,0,4,1
0,0.7,0,0,1954-55,[],2,120,0,0,0,0,0,0,DET,0,0,0,1.00,23,NHL,0,0,2,0,2,0
0,14.6,0,0,1955-56,"[{'link': '/awards/nhl_all_star.html#1956', 'name': None}, {'link': '/awards/calder.html#1956', 'name': None}]",147,0,0,14,0,0,0,0,DET,0,0,0,2.10,24,NHL,0,0,0,0,30,24
0,0,0,0,1956-57,"[{'link': '/awards/nhl_all_star.html#1957', 'name': None}]",155,0,12,2,0,0,0,0,DET,4,0,0,2.21,25,NHL,0,0,0,0,0,20
0,11.0,0,0,1957-58,"[{'link': '/awards/nhl_all_star.html#1958', 'name': None}, {'link': '/awards/voting-1958.html#hart', 'name': 'Hart-5'}]",200,0,7,10,0,0,0,0,CBH,7,0,0,2.86,26,NHL,0,0,0,0,24,0
0,10.8,0,0,1958-59,[],0,0,0,0,0,0,0,0,CBH,1,0,0,2.97,27,NHL,0,0,0,0,28,29
0,0,0,0,1959-60,"[{'link': '/awards/nhl_all_star.html#1960', 'name': None}, {'link': '/awards/voting-1960.html#hart', 'name': 'Hart-3'}]",0,0,13,2,0,0,0,1,CBH,0,0,0,2.56,28,NHL,0,0,0,1,28,0
0,0,0,0,1960-61,"[{'link': '/awards/nhl_all_star.html#1961', 'name': None}, {'link': '/awards/voting-1961.html#hart', 'name': 'Hart-5'}]",176,0,0,0,0,0,0,1,CBH,0,0,0,2.51,29,NHL,0,0,0,1,29,24
0,13.8,0,0,1961-62,"[{'link': '/awards/nhl_all_star.html#1962', 'name': None}, {'link': '/awards/voting-1962.html#hart', 'name': 'Hart-6'}]",0,0,13,12,0,0,0,0,CBH,0,0,0,2.63,30,NHL,0,0,0,0,31,26
0,0,0,0,1962-63,"[{'link': '/awards/nhl_all_star.html#1963', 'name': None}, {'link': '/awards/voting-1963.html#hart', 'name': 'Hart-4'}, {'link': '/awards/vezina.html#1963', 'name': None}]",161,3910,15,0,0,0,0,0,CBH,0,0,0,2.47,31,NHL,0,0,66,0,0,20
0,0,0,0,1963-64,"[{'link': '/awards/nhl_all_star.html#1964', 'name': None}, {'link': '/awards/voting-1964.html#hart', 'name': 'Hart-6'}]",148,3860,11,2,0,0,0,2,CBH,7,0,0,2.30,32,NHL,0,0,65,2,0,19
0,8.4,0,0,1964-65,[],99,2440,5,2,0,0,0,0,CBH,4,0,0,2.43,33,NHL,0,0,41,0,18,17
0,0,0,0,1965-66,"[{'link': '/awards/nhl_all_star.html#1966', 'name': None}, {'link': '/awards/voting-1966.html#hart', 'name': 'Hart-4'}]",164,0,7,14,0,0,0,2,CBH,4,0,0,2.63,34,NHL,0,0,0,2,0,21
0,6.1,0,0,1966-67,"[{'link': '/awards/nhl_all_star.html#1967', 'name': None}, {'link': '/awards/vezina.html#1967', 'name': None}]",66,1664,5,10,0,0,0,0,CBH,2,0,0,0,35,NHL,0,0,32,0,19,5
0,9.1,0,0,1967-68,"[{'link': '/awards/smythe.html#1968', 'name': None}]",118,2858,9,0,0,0,0,0,STL,5,0,0,2.48,36,NHL,0,0,49,0,19,21
0,9.4,0,0,1968-69,"[{'link': '/awards/nhl_all_star.html#1969', 'name': None}, {'link': '/awards/voting-1969.html#hart', 'name': 'Hart-8'}, {'link': '/awards/vezina.html#1969', 'name': None}]",85,2354,8,20,0,0,0,2,STL,0,0,0,2.17,37,NHL,0,0,41,2,19,12
0,2.7,0,0,1969-70,[],49,1010,3,0,0,0,0,0,STL,1,0,0,2.91,38,NHL,0,0,18,0,7,8
0,6.6,0,0,1970-71,[],71,1761,8,0,0,0,0,1,STL,2,0,0,2.42,39,NHL,0,0,32,1,13,11
