ties,assists,points,games_started,league,pim,goals,goals_allowed_average,loses,saves,games_played,good_start_precentages,goals_allowed_precentage,bad_start,saves_percentage,year,team,goals_saved_aboved_average,goals_allowed,shots_againist,shutouts,age,good_starts,minutes,wins
0,0,0,0,N-SJHL,0,0,3.40,0,0,5,0,0,0,0,1947-48,Humboldt Indians,0,17,0,0,16,0,300,5
2,0,0,0,N-SJHL,0,0,3.63,9,0,24,0,0,0,0,1948-49,Humboldt Indians,0,86,0,1,17,0,1420,13
1,0,0,0,OHA-Jr.,0,0,3.53,11,0,43,0,0,0,0,1949-50,Windsor Spitfires,0,152,0,0,18,0,2580,31
4,0,0,0,OHA-Jr.,0,0,3.09,18,0,54,0,0,0,0,1950-51,Windsor Spitfires,0,167,0,6,19,0,3240,32
6,0,0,0,AHL,0,0,3.89,40,0,68,0,0,0,0,1951-52,Indianapolis Capitols,0,272,0,0,20,0,4190,22
9,0,0,0,WHL,0,0,3.29,27,0,63,0,0,0,0,1952-53,Edmonton Flyers,0,207,0,2,21,0,3780,27
11,0,0,0,WHL,0,0,3.70,30,0,70,0,0,0,0,1953-54,Edmonton Flyers,0,259,0,0,22,0,4200,29
10,0,0,0,WHL,0,0,2.83,18,0,66,0,0,0,0,1954-55,Edmonton Flyers,0,187,0,5,23,0,3960,38
